Workout_ID,Difficulty,Focus_Area,Routine,Goal
WK_3021,Beginner,Lower Body,Clamshells | Squats | Leg Press | Standing Calf Raises | Leg Curls | Bulgarian Split Squats,Muscle Gain
WK_3022,Intermediate,Full Body,Dumbbell Rows | Military Press | Burpees | Skull Crushers | Bicycle Crunches,Weight Loss
WK_3023,Beginner,Core & Cardio,Bicycle Crunches | Burpees | Mountain Climbers | Russian Twists | Forearm Planks | Bird-Dogs,Weight Loss
WK_3024,Advanced,Lower Body,Seated Calf Raises | Glute Bridges | Clamshells | Bulgarian Split Squats | Wall Sits | Leg Press,General Fitness
WK_3025,Advanced,Pull,Bicep Curls | Lat Pulldowns | Seated Cable Rows | Bent-over Rows | Face Pulls,General Fitness
WK_3026,Beginner,Upper Body,Bench Press | Bicep Curls | Hammer Curls | Neutral-grip Dumbbell Press | Overhead Press,Weight Loss
WK_3027,Advanced,Pull,Chin-ups | Bent-over Rows | Deadlifts | Chest-supported Rows,Weight Loss
WK_3028,Advanced,Full Body,Hammer Curls | Forearm Planks | Leg Press | Pull-ups,Muscle Gain
WK_3029,Beginner,Push,Incline Bench Press | Knuckle Push-ups | Neutral-grip Dumbbell Press | Military Press | Tricep Extensions | Cable Crossovers,Weight Loss
WK_3030,Intermediate,Legs,Lunges | Squat Jumps | Seated Calf Raises | Standing Calf Raises,Weight Loss
WK_3031,Intermediate,Core & Cardio,Mountain Climbers | High Knees | Bird-Dogs | Jumping Jacks | Bicycle Crunches,Muscle Gain
WK_3032,Advanced,Core & Cardio,Bicycle Crunches | Jumping Jacks | Running | Bird-Dogs | Planks,Muscle Gain
WK_3033,Intermediate,Push,Tricep Extensions | Overhead Press | Dips | Neutral-grip Dumbbell Press,Muscle Gain
WK_3034,Beginner,Upper Body,Hammer Curls | Military Press | Push-ups | Face Pulls | Bench Press,Muscle Gain
WK_3035,Beginner,Full Body,Wall Sits | Leg Press | Clamshells | Pull-ups,General Fitness
WK_3036,Intermediate,Legs,Box Jumps | Seated Calf Raises | Squats | Bulgarian Split Squats,Muscle Gain
WK_3037,Intermediate,Lower Body,Seated Calf Raises | Clamshells | Leg Curls | Box Jumps | Glute Bridges,Weight Loss
WK_3038,Beginner,Lower Body,Leg Press | Clamshells | Squats | Standing Calf Raises,Muscle Gain
WK_3039,Beginner,Full Body,Clamshells | Bulgarian Split Squats | Squat Jumps | Knuckle Push-ups | Military Press | Mountain Climbers,Muscle Gain
WK_3040,Beginner,Full Body,Sprints | Dips | Planks | Dumbbell Rows,General Fitness
WK_3041,Beginner,Core & Cardio,Running | Planks | Mountain Climbers | High Knees | Jumping Jacks | Sit-ups,General Fitness
WK_3042,Advanced,Pull,Lat Pulldowns | Chest-supported Rows | Dumbbell Rows | Chin-ups | Face Pulls | Hammer Curls,General Fitness
WK_3043,Beginner,Lower Body,Seated Calf Raises | Box Jumps | Wall Sits | Leg Curls | Standing Calf Raises,Weight Loss
WK_3044,Beginner,Legs,Leg Curls | Leg Press | Bulgarian Split Squats | Lunges,Weight Loss
WK_3045,Advanced,Full Body,Bulgarian Split Squats | Chest-supported Rows | Cable Crossovers | Squats,Muscle Gain
WK_3046,Beginner,Full Body,Bicep Curls | Knuckle Push-ups | Seated Calf Raises | High Knees | Mountain Climbers,Weight Loss
WK_3047,Advanced,Lower Body,Clamshells | Squats | Squat Jumps | Wall Sits | Lunges | Leg Curls,Weight Loss
WK_3048,Beginner,Lower Body,Squat Jumps | Clamshells | Box Jumps | Wall Sits,Weight Loss
WK_3049,Advanced,Lower Body,Squat Jumps | Standing Calf Raises | Glute Bridges | Wall Sits,Weight Loss
WK_3050,Intermediate,Push,Bench Press | Push-ups | Tricep Extensions | Dips | Knuckle Push-ups,Weight Loss
WK_3051,Intermediate,Full Body,Sit-ups | Chest-supported Rows | Knuckle Push-ups | Seated Calf Raises,Weight Loss
WK_3052,Advanced,Push,Cable Crossovers | Bench Press | Push-ups | Knuckle Push-ups | Skull Crushers,General Fitness
WK_3053,Advanced,Upper Body,Deadlifts | Bicep Curls | Hammer Curls | Dips,Weight Loss
WK_3054,Beginner,Core & Cardio,Sprints | Crunches | High Knees | Mountain Climbers,General Fitness
WK_3055,Advanced,Upper Body,Seated Cable Rows | Military Press | Deadlifts | Hammer Curls,Weight Loss
WK_3056,Intermediate,Legs,Squat Jumps | Box Jumps | Glute Bridges | Bulgarian Split Squats | Clamshells | Leg Press,Weight Loss
WK_3057,Beginner,Full Body,Seated Cable Rows | Wall Sits | Forearm Planks | Dumbbell Rows | Hammer Curls | Knuckle Push-ups,General Fitness
WK_3058,Advanced,Legs,Seated Calf Raises | Squats | Leg Curls | Glute Bridges,Muscle Gain
WK_3059,Intermediate,Upper Body,Incline Bench Press | Neutral-grip Dumbbell Press | Bench Press | Seated Cable Rows | Tricep Extensions,General Fitness
WK_3060,Intermediate,Core & Cardio,Jumping Jacks | Sprints | Crunches | Forearm Planks | Sit-ups,Weight Loss
WK_3061,Advanced,Pull,Deadlifts | Bent-over Rows | Dumbbell Rows | Pull-ups | Lat Pulldowns,Weight Loss
WK_3062,Beginner,Lower Body,Leg Press | Seated Calf Raises | Standing Calf Raises | Squat Jumps,Muscle Gain
WK_3063,Advanced,Core & Cardio,Jumping Jacks | Sit-ups | Planks | Running | Sprints | High Knees,Muscle Gain
WK_3064,Intermediate,Pull,Lat Pulldowns | Seated Cable Rows | Chin-ups | Chest-supported Rows,Muscle Gain
WK_3065,Beginner,Core & Cardio,Crunches | Planks | Bicycle Crunches | Jumping Jacks | Sprints | Forearm Planks,General Fitness
WK_3066,Intermediate,Pull,Hammer Curls | Dumbbell Rows | Lat Pulldowns | Pull-ups | Bent-over Rows,Muscle Gain
WK_3067,Advanced,Core & Cardio,Bird-Dogs | Mountain Climbers | Burpees | Planks | Sprints,Weight Loss
WK_3068,Advanced,Core & Cardio,Sprints | Bicycle Crunches | Running | Sit-ups,Muscle Gain
WK_3069,Advanced,Legs,Bulgarian Split Squats | Standing Calf Raises | Leg Curls | Leg Press | Clamshells | Squat Jumps,Weight Loss
WK_3070,Advanced,Upper Body,Skull Crushers | Seated Cable Rows | Overhead Press | Incline Bench Press | Chest-supported Rows,Muscle Gain
WK_3071,Advanced,Pull,Chest-supported Rows | Bent-over Rows | Chin-ups | Dumbbell Rows | Face Pulls | Hammer Curls,Muscle Gain
WK_3072,Beginner,Upper Body,Neutral-grip Dumbbell Press | Dumbbell Rows | Lat Pulldowns | Overhead Press,Weight Loss
WK_3073,Intermediate,Core & Cardio,Planks | Running | Sit-ups | Russian Twists | Bird-Dogs | Mountain Climbers,Weight Loss
WK_3074,Advanced,Upper Body,Bench Press | Military Press | Pull-ups | Neutral-grip Dumbbell Press | Skull Crushers | Chest-supported Rows,General Fitness
WK_3075,Beginner,Core & Cardio,Running | Jumping Jacks | Russian Twists | Burpees | Bird-Dogs | Crunches,Weight Loss
WK_3076,Intermediate,Legs,Squat Jumps | Clamshells | Seated Calf Raises | Bulgarian Split Squats | Leg Curls | Lunges,Muscle Gain
WK_3077,Intermediate,Pull,Dumbbell Rows | Chin-ups | Seated Cable Rows | Bicep Curls | Chest-supported Rows,Muscle Gain
WK_3078,Intermediate,Upper Body,Overhead Press | Incline Bench Press | Neutral-grip Dumbbell Press | Cable Crossovers | Knuckle Push-ups,Muscle Gain
WK_3079,Advanced,Lower Body,Box Jumps | Squat Jumps | Glute Bridges | Seated Calf Raises,General Fitness
WK_3080,Beginner,Pull,Chin-ups | Bent-over Rows | Hammer Curls | Lat Pulldowns | Pull-ups | Dumbbell Rows,General Fitness
WK_3081,Intermediate,Core & Cardio,Running | Sit-ups | Mountain Climbers | Planks,Muscle Gain
WK_3082,Beginner,Pull,Hammer Curls | Bicep Curls | Deadlifts | Chest-supported Rows | Pull-ups | Chin-ups,Muscle Gain
WK_3083,Intermediate,Legs,Squat Jumps | Clamshells | Leg Press | Glute Bridges | Leg Curls | Lunges,General Fitness
WK_3084,Intermediate,Lower Body,Squats | Seated Calf Raises | Standing Calf Raises | Bulgarian Split Squats | Box Jumps,Muscle Gain
WK_3085,Intermediate,Legs,Leg Press | Clamshells | Squats | Seated Calf Raises,Weight Loss
WK_3086,Advanced,Push,Bench Press | Push-ups | Tricep Extensions | Overhead Press | Cable Crossovers | Military Press,Muscle Gain
WK_3087,Beginner,Upper Body,Bent-over Rows | Knuckle Push-ups | Tricep Extensions | Chin-ups | Cable Crossovers,General Fitness
WK_3088,Intermediate,Legs,Lunges | Leg Curls | Squats | Clamshells | Leg Press,Muscle Gain
WK_3089,Beginner,Lower Body,Lunges | Bulgarian Split Squats | Squats | Leg Press | Glute Bridges | Squat Jumps,Muscle Gain
WK_3090,Beginner,Legs,Box Jumps | Glute Bridges | Squat Jumps | Leg Curls | Lunges | Wall Sits,Muscle Gain
WK_3091,Intermediate,Upper Body,Cable Crossovers | Deadlifts | Skull Crushers | Military Press | Lat Pulldowns | Incline Bench Press,General Fitness
WK_3092,Advanced,Full Body,Lat Pulldowns | Burpees | Planks | Box Jumps,Weight Loss
WK_3093,Advanced,Core & Cardio,Jumping Jacks | Planks | Bird-Dogs | Running,Muscle Gain
WK_3094,Advanced,Full Body,Planks | Sprints | Neutral-grip Dumbbell Press | Burpees | Overhead Press,General Fitness
WK_3095,Advanced,Lower Body,Bulgarian Split Squats | Standing Calf Raises | Lunges | Clamshells | Squat Jumps,Muscle Gain
WK_3096,Intermediate,Full Body,Tricep Extensions | Standing Calf Raises | Lunges | Sit-ups | Leg Curls,General Fitness
WK_3097,Beginner,Pull,Pull-ups | Lat Pulldowns | Dumbbell Rows | Bicep Curls | Chin-ups,Weight Loss
WK_3098,Advanced,Core & Cardio,Sprints | Crunches | Running | Jumping Jacks | Bicycle Crunches | Russian Twists,Weight Loss
WK_3099,Intermediate,Upper Body,Lat Pulldowns | Bent-over Rows | Knuckle Push-ups | Bench Press | Dumbbell Rows | Seated Cable Rows,Muscle Gain
WK_3100,Intermediate,Upper Body,Deadlifts | Cable Crossovers | Knuckle Push-ups | Lat Pulldowns,Weight Loss
WK_3101,Intermediate,Pull,Deadlifts | Lat Pulldowns | Chin-ups | Bent-over Rows | Bicep Curls | Chest-supported Rows,Weight Loss
WK_3102,Intermediate,Core & Cardio,Bicycle Crunches | Running | Russian Twists | Bird-Dogs | Planks | High Knees,General Fitness
WK_3103,Intermediate,Full Body,Glute Bridges | Bird-Dogs | Dumbbell Rows | Lat Pulldowns,General Fitness
WK_3104,Advanced,Pull,Bicep Curls | Lat Pulldowns | Face Pulls | Chest-supported Rows | Chin-ups,General Fitness
WK_3105,Advanced,Pull,Chest-supported Rows | Bicep Curls | Dumbbell Rows | Lat Pulldowns | Pull-ups,General Fitness
WK_3106,Beginner,Upper Body,Tricep Extensions | Knuckle Push-ups | Military Press | Hammer Curls | Skull Crushers | Seated Cable Rows,Muscle Gain
WK_3107,Advanced,Upper Body,Cable Crossovers | Bicep Curls | Chest-supported Rows | Lat Pulldowns | Incline Bench Press,General Fitness
WK_3108,Beginner,Full Body,Chin-ups | Lunges | Deadlifts | Lat Pulldowns | Bench Press,Weight Loss
WK_3109,Advanced,Pull,Dumbbell Rows | Deadlifts | Face Pulls | Seated Cable Rows,General Fitness
WK_3110,Beginner,Pull,Bicep Curls | Bent-over Rows | Deadlifts | Dumbbell Rows | Chin-ups | Hammer Curls,Weight Loss
WK_3111,Intermediate,Core & Cardio,High Knees | Sprints | Russian Twists | Jumping Jacks,General Fitness
WK_3112,Beginner,Legs,Leg Curls | Lunges | Leg Press | Squats | Box Jumps,General Fitness
WK_3113,Advanced,Upper Body,Overhead Press | Neutral-grip Dumbbell Press | Military Press | Hammer Curls | Pull-ups,Weight Loss
WK_3114,Advanced,Push,Military Press | Cable Crossovers | Tricep Extensions | Neutral-grip Dumbbell Press | Knuckle Push-ups | Overhead Press,General Fitness
WK_3115,Advanced,Legs,Wall Sits | Leg Press | Bulgarian Split Squats | Squats | Lunges,Weight Loss
WK_3116,Beginner,Legs,Glute Bridges | Wall Sits | Lunges | Box Jumps | Squat Jumps | Leg Press,Muscle Gain
WK_3117,Beginner,Push,Bench Press | Tricep Extensions | Neutral-grip Dumbbell Press | Cable Crossovers,Muscle Gain
WK_3118,Beginner,Lower Body,Wall Sits | Squat Jumps | Leg Curls | Lunges,General Fitness
WK_3119,Beginner,Pull,Seated Cable Rows | Face Pulls | Chin-ups | Hammer Curls | Deadlifts,General Fitness
WK_3120,Beginner,Push,Overhead Press | Dips | Knuckle Push-ups | Push-ups | Bench Press | Neutral-grip Dumbbell Press,Weight Loss
WK_3121,Intermediate,Legs,Squat Jumps | Leg Press | Wall Sits | Leg Curls | Lunges | Glute Bridges,Muscle Gain
WK_3122,Intermediate,Pull,Hammer Curls | Dumbbell Rows | Lat Pulldowns | Bicep Curls | Chin-ups | Deadlifts,General Fitness
WK_3123,Beginner,Push,Skull Crushers | Incline Bench Press | Dips | Bench Press | Neutral-grip Dumbbell Press,Weight Loss
WK_3124,Advanced,Upper Body,Bicep Curls | Bench Press | Cable Crossovers | Seated Cable Rows | Push-ups | Skull Crushers,Muscle Gain
WK_3125,Advanced,Core & Cardio,Russian Twists | Sprints | Burpees | Planks | Sit-ups | Bicycle Crunches,General Fitness
WK_3126,Intermediate,Full Body,Wall Sits | Seated Cable Rows | Face Pulls | Forearm Planks | Tricep Extensions,Weight Loss
WK_3127,Beginner,Legs,Seated Calf Raises | Leg Curls | Wall Sits | Squat Jumps | Squats,Muscle Gain
WK_3128,Beginner,Core & Cardio,Sprints | Crunches | Jumping Jacks | Sit-ups | Forearm Planks,Weight Loss
WK_3129,Beginner,Legs,Clamshells | Leg Curls | Seated Calf Raises | Squats | Glute Bridges | Wall Sits,Muscle Gain
WK_3130,Advanced,Lower Body,Bulgarian Split Squats | Leg Curls | Squats | Glute Bridges | Wall Sits,General Fitness
WK_3131,Beginner,Push,Neutral-grip Dumbbell Press | Knuckle Push-ups | Push-ups | Bench Press | Skull Crushers,Weight Loss
WK_3132,Beginner,Push,Overhead Press | Dips | Cable Crossovers | Bench Press | Incline Bench Press | Military Press,Weight Loss
WK_3133,Beginner,Full Body,Leg Curls | Neutral-grip Dumbbell Press | Russian Twists | Incline Bench Press,Weight Loss
WK_3134,Advanced,Core & Cardio,Forearm Planks | Mountain Climbers | Sprints | Sit-ups | Russian Twists,General Fitness
WK_3135,Beginner,Core & Cardio,Forearm Planks | Burpees | Sit-ups | Running | Bicycle Crunches,Muscle Gain
WK_3136,Beginner,Pull,Dumbbell Rows | Hammer Curls | Chest-supported Rows | Seated Cable Rows,Weight Loss
WK_3137,Beginner,Legs,Squat Jumps | Wall Sits | Leg Press | Leg Curls | Box Jumps,Muscle Gain
WK_3138,Advanced,Core & Cardio,Crunches | Bicycle Crunches | Forearm Planks | Bird-Dogs | Sit-ups,Muscle Gain
WK_3139,Intermediate,Core & Cardio,Mountain Climbers | Running | Planks | Sit-ups,Weight Loss
WK_3140,Intermediate,Upper Body,Knuckle Push-ups | Dumbbell Rows | Bent-over Rows | Seated Cable Rows,Muscle Gain
WK_3141,Advanced,Legs,Leg Curls | Squats | Box Jumps | Clamshells,General Fitness
WK_3142,Intermediate,Push,Neutral-grip Dumbbell Press | Push-ups | Cable Crossovers | Knuckle Push-ups,General Fitness
WK_3143,Advanced,Full Body,Wall Sits | Russian Twists | Incline Bench Press | Dips,Muscle Gain
WK_3144,Intermediate,Core & Cardio,Planks | Mountain Climbers | Sit-ups | Jumping Jacks | Crunches,Weight Loss
WK_3145,Advanced,Legs,Seated Calf Raises | Standing Calf Raises | Leg Curls | Clamshells | Squats | Wall Sits,Weight Loss
WK_3146,Beginner,Full Body,Planks | Bicep Curls | Chin-ups | Skull Crushers | Standing Calf Raises | Tricep Extensions,General Fitness
WK_3147,Advanced,Legs,Lunges | Leg Curls | Box Jumps | Wall Sits | Squats | Bulgarian Split Squats,Muscle Gain
WK_3148,Beginner,Lower Body,Standing Calf Raises | Squat Jumps | Seated Calf Raises | Box Jumps | Glute Bridges,Weight Loss
WK_3149,Intermediate,Push,Knuckle Push-ups | Overhead Press | Incline Bench Press | Cable Crossovers | Bench Press | Dips,Weight Loss
WK_3150,Intermediate,Legs,Bulgarian Split Squats | Glute Bridges | Leg Curls | Box Jumps | Squat Jumps | Leg Press,Weight Loss
WK_3151,Intermediate,Pull,Dumbbell Rows | Deadlifts | Bicep Curls | Seated Cable Rows | Chest-supported Rows,Weight Loss
WK_3152,Beginner,Push,Neutral-grip Dumbbell Press | Skull Crushers | Dips | Tricep Extensions,Weight Loss
WK_3153,Intermediate,Pull,Dumbbell Rows | Chin-ups | Hammer Curls | Bicep Curls | Deadlifts,Weight Loss
WK_3154,Intermediate,Upper Body,Deadlifts | Bicep Curls | Incline Bench Press | Lat Pulldowns | Bench Press | Bent-over Rows,Muscle Gain
WK_3155,Beginner,Lower Body,Bulgarian Split Squats | Squats | Leg Press | Leg Curls | Wall Sits | Seated Calf Raises,Weight Loss
WK_3156,Beginner,Legs,Standing Calf Raises | Glute Bridges | Bulgarian Split Squats | Wall Sits | Box Jumps | Squat Jumps,General Fitness
WK_3157,Advanced,Full Body,Overhead Press | Lat Pulldowns | Seated Calf Raises | Bicycle Crunches | Running | Lunges,Muscle Gain
WK_3158,Beginner,Pull,Dumbbell Rows | Chest-supported Rows | Hammer Curls | Pull-ups,Weight Loss
WK_3159,Beginner,Upper Body,Deadlifts | Chest-supported Rows | Face Pulls | Cable Crossovers | Skull Crushers | Bicep Curls,Muscle Gain
WK_3160,Intermediate,Legs,Squat Jumps | Standing Calf Raises | Lunges | Leg Curls | Leg Press,Weight Loss
WK_3161,Beginner,Upper Body,Seated Cable Rows | Bent-over Rows | Hammer Curls | Deadlifts | Overhead Press | Face Pulls,Weight Loss
WK_3162,Intermediate,Full Body,Neutral-grip Dumbbell Press | Leg Curls | Lunges | Planks | Chest-supported Rows | Running,General Fitness
WK_3163,Advanced,Core & Cardio,Jumping Jacks | Bird-Dogs | Running | Russian Twists | High Knees,General Fitness
WK_3164,Advanced,Push,Incline Bench Press | Military Press | Push-ups | Neutral-grip Dumbbell Press | Skull Crushers,General Fitness
WK_3165,Advanced,Lower Body,Lunges | Box Jumps | Squats | Leg Press | Wall Sits,General Fitness
WK_3166,Beginner,Core & Cardio,Running | Forearm Planks | Burpees | Sit-ups,Weight Loss
WK_3167,Intermediate,Core & Cardio,Mountain Climbers | Bicycle Crunches | Forearm Planks | Sit-ups | Burpees | Planks,Muscle Gain
WK_3168,Beginner,Pull,Face Pulls | Hammer Curls | Dumbbell Rows | Deadlifts | Chest-supported Rows,Weight Loss
WK_3169,Beginner,Lower Body,Leg Curls | Glute Bridges | Standing Calf Raises | Lunges | Leg Press,Muscle Gain
WK_3170,Advanced,Push,Bench Press | Tricep Extensions | Dips | Military Press | Knuckle Push-ups,Weight Loss
WK_3171,Intermediate,Legs,Bulgarian Split Squats | Glute Bridges | Leg Press | Squats,General Fitness
WK_3172,Intermediate,Full Body,Cable Crossovers | Burpees | Pull-ups | Dips,Weight Loss
WK_3173,Advanced,Legs,Leg Press | Glute Bridges | Bulgarian Split Squats | Standing Calf Raises,General Fitness
WK_3174,Beginner,Legs,Squats | Wall Sits | Box Jumps | Leg Press | Bulgarian Split Squats | Seated Calf Raises,General Fitness
WK_3175,Beginner,Upper Body,Bench Press | Dips | Seated Cable Rows | Deadlifts | Neutral-grip Dumbbell Press | Knuckle Push-ups,Weight Loss
WK_3176,Beginner,Full Body,Military Press | Cable Crossovers | Wall Sits | Squat Jumps | Neutral-grip Dumbbell Press,Muscle Gain
WK_3177,Beginner,Pull,Bicep Curls | Chest-supported Rows | Lat Pulldowns | Bent-over Rows | Chin-ups,Weight Loss
WK_3178,Beginner,Push,Bench Press | Cable Crossovers | Dips | Neutral-grip Dumbbell Press | Skull Crushers | Knuckle Push-ups,Weight Loss
WK_3179,Intermediate,Full Body,Standing Calf Raises | Planks | Tricep Extensions | Leg Press | Mountain Climbers,General Fitness
WK_3180,Beginner,Core & Cardio,Crunches | Planks | Burpees | Jumping Jacks,Muscle Gain
WK_3181,Intermediate,Upper Body,Face Pulls | Bicep Curls | Hammer Curls | Knuckle Push-ups | Bent-over Rows | Chest-supported Rows,Muscle Gain
WK_3182,Intermediate,Lower Body,Leg Press | Seated Calf Raises | Lunges | Squat Jumps | Glute Bridges | Leg Curls,Weight Loss
WK_3183,Beginner,Core & Cardio,Crunches | Russian Twists | Sit-ups | Bird-Dogs | Jumping Jacks,Muscle Gain
WK_3184,Intermediate,Lower Body,Bulgarian Split Squats | Wall Sits | Standing Calf Raises | Box Jumps | Leg Curls,Weight Loss
WK_3185,Beginner,Full Body,Skull Crushers | Standing Calf Raises | Tricep Extensions | Lunges,General Fitness
WK_3186,Beginner,Legs,Squats | Leg Press | Clamshells | Bulgarian Split Squats | Standing Calf Raises | Leg Curls,General Fitness
WK_3187,Intermediate,Full Body,Forearm Planks | Standing Calf Raises | Bicycle Crunches | Military Press | Bicep Curls,Muscle Gain
WK_3188,Intermediate,Push,Push-ups | Incline Bench Press | Cable Crossovers | Military Press | Knuckle Push-ups,Muscle Gain
WK_3189,Intermediate,Pull,Bent-over Rows | Chest-supported Rows | Lat Pulldowns | Face Pulls,Muscle Gain
WK_3190,Intermediate,Full Body,Chin-ups | Standing Calf Raises | Jumping Jacks | Crunches | Planks | Russian Twists,Muscle Gain
WK_3191,Beginner,Push,Knuckle Push-ups | Dips | Bench Press | Overhead Press | Neutral-grip Dumbbell Press | Skull Crushers,General Fitness
WK_3192,Intermediate,Legs,Standing Calf Raises | Squats | Box Jumps | Leg Press | Seated Calf Raises,Muscle Gain
WK_3193,Beginner,Full Body,Sit-ups | Push-ups | Skull Crushers | Squat Jumps | Pull-ups | Box Jumps,Weight Loss
WK_3194,Intermediate,Core & Cardio,Burpees | Crunches | Sprints | Mountain Climbers | Jumping Jacks,Muscle Gain
WK_3195,Beginner,Full Body,Crunches | Military Press | Planks | Skull Crushers,Muscle Gain
WK_3196,Intermediate,Lower Body,Seated Calf Raises | Leg Curls | Leg Press | Bulgarian Split Squats | Squat Jumps | Box Jumps,General Fitness
WK_3197,Advanced,Upper Body,Deadlifts | Pull-ups | Military Press | Incline Bench Press,Muscle Gain
WK_3198,Advanced,Pull,Bicep Curls | Lat Pulldowns | Dumbbell Rows | Deadlifts | Bent-over Rows | Chin-ups,Muscle Gain
WK_3199,Beginner,Push,Military Press | Dips | Knuckle Push-ups | Overhead Press,General Fitness
WK_3200,Intermediate,Legs,Standing Calf Raises | Lunges | Squats | Leg Curls | Seated Calf Raises,General Fitness
WK_3201,Beginner,Upper Body,Hammer Curls | Neutral-grip Dumbbell Press | Chest-supported Rows | Seated Cable Rows | Deadlifts,General Fitness
WK_3202,Intermediate,Full Body,Overhead Press | Standing Calf Raises | Push-ups | Leg Curls | Dips | Face Pulls,Muscle Gain
WK_3203,Intermediate,Push,Tricep Extensions | Knuckle Push-ups | Dips | Push-ups | Military Press | Bench Press,Weight Loss
WK_3204,Beginner,Lower Body,Leg Curls | Standing Calf Raises | Lunges | Seated Calf Raises | Leg Press | Squat Jumps,Muscle Gain
WK_3205,Advanced,Core & Cardio,Forearm Planks | Jumping Jacks | Sit-ups | Sprints | Crunches,General Fitness
WK_3206,Intermediate,Upper Body,Overhead Press | Chest-supported Rows | Face Pulls | Military Press,Weight Loss
WK_3207,Advanced,Push,Skull Crushers | Knuckle Push-ups | Overhead Press | Military Press,General Fitness
WK_3208,Beginner,Full Body,Bent-over Rows | Deadlifts | Sprints | Incline Bench Press | Russian Twists,General Fitness
WK_3209,Beginner,Full Body,Leg Press | Leg Curls | Burpees | Running | Seated Calf Raises | Bird-Dogs,Muscle Gain
WK_3210,Advanced,Pull,Chest-supported Rows | Seated Cable Rows | Pull-ups | Bicep Curls | Deadlifts | Chin-ups,General Fitness
WK_3211,Advanced,Core & Cardio,Bicycle Crunches | Sprints | Planks | High Knees | Crunches,Muscle Gain
WK_3212,Beginner,Push,Neutral-grip Dumbbell Press | Knuckle Push-ups | Bench Press | Cable Crossovers | Overhead Press,Weight Loss
WK_3213,Intermediate,Legs,Bulgarian Split Squats | Lunges | Leg Press | Clamshells,Muscle Gain
WK_3214,Intermediate,Core & Cardio,Forearm Planks | Mountain Climbers | High Knees | Russian Twists | Running | Crunches,Weight Loss
WK_3215,Intermediate,Push,Overhead Press | Bench Press | Neutral-grip Dumbbell Press | Push-ups | Tricep Extensions | Knuckle Push-ups,General Fitness
WK_3216,Beginner,Pull,Seated Cable Rows | Pull-ups | Deadlifts | Chin-ups | Chest-supported Rows | Bicep Curls,Weight Loss
WK_3217,Advanced,Core & Cardio,Planks | Burpees | Crunches | Bird-Dogs | Sprints | Sit-ups,Muscle Gain
WK_3218,Intermediate,Core & Cardio,Planks | High Knees | Bird-Dogs | Crunches | Jumping Jacks | Bicycle Crunches,Muscle Gain
WK_3219,Advanced,Full Body,Box Jumps | Bicep Curls | Chest-supported Rows | Forearm Planks | Sprints | Incline Bench Press,Weight Loss
WK_3220,Beginner,Lower Body,Bulgarian Split Squats | Box Jumps | Standing Calf Raises | Wall Sits | Seated Calf Raises | Lunges,General Fitness
