Injury_ID,Injury_Location,Condition_Name,Severity,Affected_Workout_Types,Recommended_Modifications
INJ_3013,Wrist / Elbow,Golfer's Elbow,Mild,Upper Body & Pull (Back/Biceps),Substitute Push-ups with Forearm Planks or knuckle Push-ups | Avoid Skull Crushers
INJ_3014,Shoulder,AC Joint Sprain,Severe,Full Body,"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3015,Hip / Groin,Hip Flexor Strain,Severe,Legs & Lower Body,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3016,Wrist / Elbow,Golfer's Elbow,Mild,Upper Body,Substitute Push-ups with Forearm Planks or knuckle Push-ups | Avoid Skull Crushers
INJ_3017,Lower Back,Muscle Sprain,Moderate,Full Body & Lower Body & Core,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3018,Neck,Cervical Sprain,Severe,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3019,Hip / Groin,Hip Flexor Strain,Moderate,Lower Body & Core & Cardio,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3020,Hip / Groin,Piriformis Syndrome,Severe,Lower Body & Core & Cardio,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3021,Wrist / Elbow,Wrist Sprain,Severe,Upper Body & Pull (Back/Biceps),"Avoid Push-ups, Bench Press, and Heavy Gripping | Substitute Push-ups with Forearm Planks"
INJ_3022,Neck,Cervical Sprain,Chronic/Recurring,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3023,Ankle / Foot,Achilles Tendinitis,Moderate,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3024,Ankle / Foot,Ankle Sprain,Rehabilitating,Legs & Core & Cardio,"Avoid Box Jumps, Burpees, High Knees, Jumping Jacks, Running, and Sprints | Substitute standing exercises with seated variations"
INJ_3025,Core,Abdominal Strain,Moderate,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3026,Neck,Postural Neck Pain,Mild,Full Body & Upper Body,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3027,Lower Back,Muscle Sprain,Moderate,Core & Legs,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3028,Core,Abdominal Strain,Chronic/Recurring,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3029,Neck,Cervical Sprain,Rehabilitating,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3030,Shoulder,Labral Tear,Severe,Push (Chest/Shoulders/Triceps),"Avoid Overhead Press, Military Press, Dips, and Pull-ups | Limit range of motion on Bench Press"
INJ_3031,Ankle / Foot,Plantar Fasciitis,Moderate,Legs & Core & Cardio,"Avoid Running, Sprints, Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute standing calf raises with seated"
INJ_3032,Knee,Patellar Tendinitis,Rehabilitating,Lower Body,Substitute Squats/Lunges with Glute Bridges | Avoid High Knees and Sprints
INJ_3033,Shoulder,Labral Tear,Rehabilitating,Upper Body,"Avoid Overhead Press, Military Press, Dips, and Pull-ups | Limit range of motion on Bench Press"
INJ_3034,Lower Back,SI Joint Dysfunction,Moderate,Core & Legs,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3035,Knee,Patellar Tendinitis,Chronic/Recurring,Legs & Cardio,Substitute Squats/Lunges with Glute Bridges | Avoid High Knees and Sprints
INJ_3036,Shoulder,Labral Tear,Severe,Upper Body,"Avoid Overhead Press, Military Press, Dips, and Pull-ups | Limit range of motion on Bench Press"
INJ_3037,Knee,ACL Sprain,Rehabilitating,Legs & Cardio,"Avoid Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute deep Squats with Wall Sits"
INJ_3038,Shoulder,AC Joint Sprain,Mild,Upper Body,"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3039,Lower Back,Muscle Sprain,Chronic/Recurring,Core & Legs,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3040,Lower Back,SI Joint Dysfunction,Rehabilitating,Core & Legs,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3041,Core,Abdominal Strain,Rehabilitating,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3042,Ankle / Foot,Plantar Fasciitis,Severe,Legs & Core & Cardio,"Avoid Running, Sprints, Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute standing calf raises with seated"
INJ_3043,Neck,Postural Neck Pain,Moderate,Full Body & Upper Body,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3044,Shoulder,Labral Tear,Mild,Upper Body,"Avoid Overhead Press, Military Press, Dips, and Pull-ups | Limit range of motion on Bench Press"
INJ_3045,Wrist / Elbow,Carpal Tunnel Syndrome,Mild,Upper Body,Avoid heavy gripping (use straps for pulling) | Avoid Skull Crushers
INJ_3046,Knee,ACL Sprain,Mild,Legs & Cardio,"Avoid Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute deep Squats with Wall Sits"
INJ_3047,Hip / Groin,Hip Flexor Strain,Rehabilitating,Lower Body & Core & Cardio,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3048,Ankle / Foot,Ankle Sprain,Chronic/Recurring,Cardio & Legs,"Avoid Box Jumps, Burpees, High Knees, Jumping Jacks, Running, and Sprints | Substitute standing exercises with seated variations"
INJ_3049,Lower Back,Muscle Sprain,Rehabilitating,Core & Legs,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3050,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3051,Wrist / Elbow,Carpal Tunnel Syndrome,Mild,Upper Body,Avoid heavy gripping (use straps for pulling) | Avoid Skull Crushers
INJ_3052,Core,Abdominal Strain,Chronic/Recurring,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3053,Neck,Postural Neck Pain,Mild,Full Body & Upper Body,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3054,Core,Abdominal Strain,Mild,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3055,Wrist / Elbow,Tennis Elbow,Rehabilitating,Push (Chest/Shoulders/Triceps),"Avoid heavy gripping, Pull-ups, and Chin-ups | Use straps for all pulling movements"
INJ_3056,Lower Back,SI Joint Dysfunction,Moderate,Pull (Back/Biceps) & Full Body,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3057,Neck,Postural Neck Pain,Mild,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3058,Shoulder,Rotator Cuff Tendinitis,Rehabilitating,Push (Chest/Shoulders/Triceps),"Avoid Overhead Press, Military Press, and Dips | Avoid wide-grip Pull-ups"
INJ_3059,Shoulder,Shoulder Impingement,Moderate,Full Body,"Avoid Overhead Press, Military Press, and Dips | Substitute Barbell Bench with Neutral-grip Dumbbell Press"
INJ_3060,Neck,Cervical Sprain,Moderate,Core & Cardio,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3061,Knee,ACL Sprain,Chronic/Recurring,Legs & Cardio,"Avoid Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute deep Squats with Wall Sits"
INJ_3062,Core,Abdominal Strain,Chronic/Recurring,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3063,Core,Abdominal Strain,Moderate,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3064,Ankle / Foot,Achilles Tendinitis,Mild,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3065,Knee,Patellar Tendinitis,Mild,Legs & Cardio,Substitute Squats/Lunges with Glute Bridges | Avoid High Knees and Sprints
INJ_3066,Neck,Postural Neck Pain,Mild,Full Body & Upper Body,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3067,Lower Back,Herniated Disc,Rehabilitating,Full Body & Lower Body & Core,"Avoid Deadlifts, Squats, and Sit-ups | Substitute bent-over rows with chest-supported rows | Keep spine neutral"
INJ_3068,Wrist / Elbow,TFCC Tear,Mild,Upper Body,Use neutral grips (Hammer Curls instead of regular) | Avoid Push-ups and Bench Press
INJ_3069,Wrist / Elbow,Wrist Sprain,Rehabilitating,Upper Body & Pull (Back/Biceps),"Avoid Push-ups, Bench Press, and Heavy Gripping | Substitute Push-ups with Forearm Planks"
INJ_3070,Shoulder,AC Joint Sprain,Rehabilitating,Pull (Back/Biceps) & Push,"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3071,Ankle / Foot,Achilles Tendinitis,Severe,Cardio & Legs,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3072,Ankle / Foot,Plantar Fasciitis,Moderate,Lower Body,"Avoid Running, Sprints, Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute standing calf raises with seated"
INJ_3073,Ankle / Foot,Plantar Fasciitis,Severe,Cardio & Legs,"Avoid Running, Sprints, Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute standing calf raises with seated"
INJ_3074,Knee,IT Band Syndrome,Rehabilitating,Legs & Cardio,"Avoid Running, Sprints, and High Knees | Substitute Lunges with Glute Bridges"
INJ_3075,Shoulder,Shoulder Impingement,Rehabilitating,Pull (Back/Biceps) & Push,"Avoid Overhead Press, Military Press, and Dips | Substitute Barbell Bench with Neutral-grip Dumbbell Press"
INJ_3076,Lower Back,SI Joint Dysfunction,Mild,Full Body & Lower Body & Core,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3077,Hip / Groin,Piriformis Syndrome,Moderate,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3078,Ankle / Foot,Ankle Sprain,Rehabilitating,Cardio & Legs,"Avoid Box Jumps, Burpees, High Knees, Jumping Jacks, Running, and Sprints | Substitute standing exercises with seated variations"
INJ_3079,Ankle / Foot,Ankle Sprain,Mild,Cardio & Legs,"Avoid Box Jumps, Burpees, High Knees, Jumping Jacks, Running, and Sprints | Substitute standing exercises with seated variations"
INJ_3080,Ankle / Foot,Achilles Tendinitis,Mild,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3081,Lower Back,SI Joint Dysfunction,Severe,Core & Legs,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3082,Wrist / Elbow,Golfer's Elbow,Moderate,Upper Body,Substitute Push-ups with Forearm Planks or knuckle Push-ups | Avoid Skull Crushers
INJ_3083,Ankle / Foot,Ankle Sprain,Chronic/Recurring,Legs & Core & Cardio,"Avoid Box Jumps, Burpees, High Knees, Jumping Jacks, Running, and Sprints | Substitute standing exercises with seated variations"
INJ_3084,Knee,Meniscus Tear,Chronic/Recurring,Full Body,"Avoid high-impact jumps (Box Jumps, Burpees, High Knees, Sprints) | Substitute Squats/Lunges with Glute Bridges or Wall Sits"
INJ_3085,Knee,Meniscus Tear,Severe,Lower Body,"Avoid high-impact jumps (Box Jumps, Burpees, High Knees, Sprints) | Substitute Squats/Lunges with Glute Bridges or Wall Sits"
INJ_3086,Ankle / Foot,Achilles Tendinitis,Chronic/Recurring,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3087,Core,Abdominal Strain,Mild,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3088,Lower Back,Muscle Sprain,Mild,Pull (Back/Biceps) & Full Body,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3089,Lower Back,SI Joint Dysfunction,Moderate,Full Body & Lower Body & Core,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3090,Ankle / Foot,Plantar Fasciitis,Mild,Legs & Core & Cardio,"Avoid Running, Sprints, Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute standing calf raises with seated"
INJ_3091,Wrist / Elbow,Tennis Elbow,Mild,Push (Chest/Shoulders/Triceps),"Avoid heavy gripping, Pull-ups, and Chin-ups | Use straps for all pulling movements"
INJ_3092,Core,Abdominal Strain,Moderate,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3093,Lower Back,SI Joint Dysfunction,Mild,Full Body & Lower Body & Core,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3094,Hip / Groin,Piriformis Syndrome,Moderate,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3095,Lower Back,Muscle Sprain,Mild,Pull (Back/Biceps) & Full Body,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3096,Knee,IT Band Syndrome,Moderate,Lower Body,"Avoid Running, Sprints, and High Knees | Substitute Lunges with Glute Bridges"
INJ_3097,Neck,Cervical Sprain,Severe,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3098,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Push (Chest/Shoulders/Triceps),Avoid heavy gripping (use straps for pulling) | Avoid Skull Crushers
INJ_3099,Hip / Groin,Piriformis Syndrome,Mild,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3100,Hip / Groin,Piriformis Syndrome,Rehabilitating,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3101,Knee,Meniscus Tear,Severe,Lower Body,"Avoid high-impact jumps (Box Jumps, Burpees, High Knees, Sprints) | Substitute Squats/Lunges with Glute Bridges or Wall Sits"
INJ_3102,Ankle / Foot,Achilles Tendinitis,Mild,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3103,Core,Abdominal Strain,Severe,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3104,Shoulder,AC Joint Sprain,Rehabilitating,Upper Body,"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3105,Ankle / Foot,Achilles Tendinitis,Chronic/Recurring,Cardio & Legs,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3106,Wrist / Elbow,Golfer's Elbow,Chronic/Recurring,Upper Body & Pull (Back/Biceps),Substitute Push-ups with Forearm Planks or knuckle Push-ups | Avoid Skull Crushers
INJ_3107,Hip / Groin,Piriformis Syndrome,Mild,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3108,Ankle / Foot,Ankle Sprain,Chronic/Recurring,Legs & Core & Cardio,"Avoid Box Jumps, Burpees, High Knees, Jumping Jacks, Running, and Sprints | Substitute standing exercises with seated variations"
INJ_3109,Core,Abdominal Strain,Rehabilitating,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3110,Wrist / Elbow,TFCC Tear,Chronic/Recurring,Upper Body,Use neutral grips (Hammer Curls instead of regular) | Avoid Push-ups and Bench Press
INJ_3111,Lower Back,Muscle Sprain,Rehabilitating,Pull (Back/Biceps) & Full Body,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3112,Core,Abdominal Strain,Severe,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3113,Wrist / Elbow,TFCC Tear,Rehabilitating,Upper Body,Use neutral grips (Hammer Curls instead of regular) | Avoid Push-ups and Bench Press
INJ_3114,Hip / Groin,Piriformis Syndrome,Chronic/Recurring,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3115,Wrist / Elbow,Wrist Sprain,Chronic/Recurring,Upper Body,"Avoid Push-ups, Bench Press, and Heavy Gripping | Substitute Push-ups with Forearm Planks"
INJ_3116,Lower Back,Muscle Sprain,Mild,Pull (Back/Biceps) & Full Body,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3117,Hip / Groin,Hip Flexor Strain,Moderate,Legs & Lower Body,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3118,Wrist / Elbow,Tennis Elbow,Moderate,Upper Body & Pull (Back/Biceps),"Avoid heavy gripping, Pull-ups, and Chin-ups | Use straps for all pulling movements"
INJ_3119,Knee,ACL Sprain,Chronic/Recurring,Legs & Cardio,"Avoid Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute deep Squats with Wall Sits"
INJ_3120,Neck,Cervical Sprain,Rehabilitating,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3121,Core,Abdominal Strain,Chronic/Recurring,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3122,Lower Back,Muscle Sprain,Mild,Full Body & Lower Body & Core,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3123,Core,Abdominal Strain,Moderate,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3124,Knee,ACL Sprain,Mild,Core & Cardio & Legs,"Avoid Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute deep Squats with Wall Sits"
INJ_3125,Lower Back,SI Joint Dysfunction,Rehabilitating,Core & Legs,Avoid heavy Deadlifts and Bent-over Rows | Substitute Sit-ups with Planks or Bird-Dogs
INJ_3126,Hip / Groin,Piriformis Syndrome,Rehabilitating,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3127,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3128,Ankle / Foot,Achilles Tendinitis,Severe,Lower Body,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3129,Neck,Postural Neck Pain,Severe,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3130,Shoulder,Labral Tear,Moderate,Pull (Back/Biceps) & Push,"Avoid Overhead Press, Military Press, Dips, and Pull-ups | Limit range of motion on Bench Press"
INJ_3131,Hip / Groin,Piriformis Syndrome,Rehabilitating,Lower Body & Core & Cardio,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3132,Lower Back,Herniated Disc,Moderate,Pull (Back/Biceps) & Full Body,"Avoid Deadlifts, Squats, and Sit-ups | Substitute bent-over rows with chest-supported rows | Keep spine neutral"
INJ_3133,Lower Back,Muscle Sprain,Moderate,Full Body & Lower Body & Core,"Avoid Deadlifts, heavy Squats, and Russian Twists | Keep spine neutral during Planks"
INJ_3134,Core,Abdominal Strain,Severe,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3135,Core,Abdominal Strain,Moderate,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3136,Core,Abdominal Strain,Rehabilitating,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3137,Neck,Postural Neck Pain,Severe,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3138,Core,Abdominal Strain,Rehabilitating,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3139,Neck,Postural Neck Pain,Severe,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3140,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3141,Core,Abdominal Strain,Chronic/Recurring,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3142,Knee,IT Band Syndrome,Rehabilitating,Legs & Cardio,"Avoid Running, Sprints, and High Knees | Substitute Lunges with Glute Bridges"
INJ_3143,Shoulder,AC Joint Sprain,Moderate,Full Body,"Avoid overhead pressing (Military Press, Overhead Press) | Use neutral grip for pushes"
INJ_3144,Lower Back,Herniated Disc,Severe,Pull (Back/Biceps) & Full Body,"Avoid Deadlifts, Squats, and Sit-ups | Substitute bent-over rows with chest-supported rows | Keep spine neutral"
INJ_3145,Hip / Groin,Hip Flexor Strain,Chronic/Recurring,Legs & Lower Body,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3146,Hip / Groin,Piriformis Syndrome,Severe,Legs & Lower Body,Avoid heavy Squats and Lunges | Substitute with Glute Bridges and Clamshells
INJ_3147,Ankle / Foot,Achilles Tendinitis,Chronic/Recurring,Cardio & Legs,"Substitute standing calf raises with seated | Avoid Running, Sprints, Box Jumps, and High Knees"
INJ_3148,Knee,Patellar Tendinitis,Moderate,Legs & Cardio,Substitute Squats/Lunges with Glute Bridges | Avoid High Knees and Sprints
INJ_3149,Knee,Meniscus Tear,Moderate,Lower Body,"Avoid high-impact jumps (Box Jumps, Burpees, High Knees, Sprints) | Substitute Squats/Lunges with Glute Bridges or Wall Sits"
INJ_3150,Knee,ACL Sprain,Moderate,Lower Body,"Avoid Box Jumps, Burpees, High Knees, and Jumping Jacks | Substitute deep Squats with Wall Sits"
INJ_3151,Neck,Postural Neck Pain,Rehabilitating,Full Body & Upper Body,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3152,Neck,Cervical Sprain,Severe,Full Body & Upper Body,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3153,Shoulder,Shoulder Impingement,Severe,Push (Chest/Shoulders/Triceps),"Avoid Overhead Press, Military Press, and Dips | Substitute Barbell Bench with Neutral-grip Dumbbell Press"
INJ_3154,Knee,Patellar Tendinitis,Rehabilitating,Core & Cardio & Legs,Substitute Squats/Lunges with Glute Bridges | Avoid High Knees and Sprints
INJ_3155,Core,Abdominal Strain,Mild,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3156,Shoulder,Labral Tear,Rehabilitating,Push (Chest/Shoulders/Triceps),"Avoid Overhead Press, Military Press, Dips, and Pull-ups | Limit range of motion on Bench Press"
INJ_3157,Knee,Patellar Tendinitis,Rehabilitating,Core & Cardio & Legs,Substitute Squats/Lunges with Glute Bridges | Avoid High Knees and Sprints
INJ_3158,Hip / Groin,Hip Flexor Strain,Rehabilitating,Legs & Lower Body,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3159,Knee,IT Band Syndrome,Chronic/Recurring,Legs & Cardio,"Avoid Running, Sprints, and High Knees | Substitute Lunges with Glute Bridges"
INJ_3160,Core,Abdominal Strain,Chronic/Recurring,Core & Cardio & Full Body,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3161,Core,Abdominal Strain,Rehabilitating,Core,"Avoid Crunches, Sit-ups, and Russian Twists | Substitute dynamic core work with Forearm Planks and Bird-Dogs"
INJ_3162,Neck,Cervical Sprain,Chronic/Recurring,Core & Cardio,"Avoid Overhead Press, Military Press, and Shrugs | Keep neck neutral during Planks"
INJ_3163,Hip / Groin,Hip Flexor Strain,Mild,Legs & Lower Body,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
INJ_3164,Neck,Postural Neck Pain,Chronic/Recurring,Core & Cardio,Keep neck neutral during Planks and Push-ups | Avoid Shrugs
INJ_3165,Hip / Groin,Hip Flexor Strain,Chronic/Recurring,Legs & Lower Body,"Avoid Sit-ups and Crunches | Avoid high-impact cardio (High Knees, Box Jumps, Burpees, Sprints)"
