Injury_ID,Injury_Location,Condition_Name,Severity,Affected_Workout_Types,Recommended_Modifications
INJ_1029,Lower Back,Lumbar Strain,Chronic/Recurring,Pull (Back/Biceps),Avoid twisting core movements
INJ_1030,Knee,Ligament Sprain (ACL/MCL),Chronic/Recurring,Core & Cardio & Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1031,Ankle / Foot,Plantar Fasciitis,Moderate,Full Body & Core & Cardio,Substitute standing calf raises with seated | Perform cardio on a stationary bike or swimming instead
INJ_1032,Lower Back,Muscle Spasm,Chronic/Recurring,Core & Cardio & Pull (Back/Biceps),Avoid twisting core movements
INJ_1033,Wrist / Elbow,Carpal Tunnel Syndrome,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Avoid heavy gripping (use straps for pulling) | Avoid skull crushers
INJ_1034,Wrist / Elbow,TFCC Tear (Mild),Chronic/Recurring,Upper Body & Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular) | Avoid heavy gripping (use straps for pulling)
INJ_1035,Wrist / Elbow,Golfer's Elbow,Chronic/Recurring,Upper Body & Push (Chest/Shoulders/Triceps),Substitute push-ups with forearm planks or knuckle push-ups | Avoid skull crushers
INJ_1036,Ankle / Foot,Achilles Tendinitis,Mild,Core & Cardio,"Perform cardio on a stationary bike or swimming instead | Avoid running, jumping, and high-impact cardio"
INJ_1037,Neck,Postural Neck Pain,Chronic/Recurring,Upper Body,Avoid heavy barbell shrugs | Keep neck neutral during planks and push-ups
INJ_1038,Neck,Postural Neck Pain,Mild,Push (Chest/Shoulders/Triceps),Keep neck neutral during planks and push-ups | Avoid heavy barbell shrugs
INJ_1039,Knee,Ligament Sprain (ACL/MCL),Chronic/Recurring,Core & Cardio,Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid deep squatting
INJ_1040,Lower Back,Sciatica,Rehabilitating,Legs & Pull (Back/Biceps),Avoid heavy deadlifts and bent-over rows
INJ_1041,Ankle / Foot,Ankle Sprain,Moderate,Full Body & Legs,Substitute standing calf raises with seated
INJ_1042,Lower Back,Herniated Disc (Mild),Moderate,Legs & Full Body,Avoid twisting core movements | Substitute sit-ups with planks or bird-dogs
INJ_1043,Neck,Upper Trapezius Spasm,Moderate,Core & Cardio,Avoid overhead presses if causing pain | Avoid heavy barbell shrugs
INJ_1044,Ankle / Foot,Ankle Sprain,Moderate,Legs & Full Body,"Substitute standing calf raises with seated | Avoid running, jumping, and high-impact cardio"
INJ_1045,Lower Back,Sciatica,Chronic/Recurring,Legs,Avoid twisting core movements | Avoid heavy deadlifts and bent-over rows
INJ_1046,Wrist / Elbow,Golfer's Elbow,Chronic/Recurring,Pull (Back/Biceps) & Upper Body,Avoid skull crushers | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1047,Ankle / Foot,Shin Splints,Mild,Legs & Core & Cardio,Perform cardio on a stationary bike or swimming instead | Wear supportive footwear during lifts
INJ_1048,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Upper Body,Avoid heavy gripping (use straps for pulling) | Use neutral grips (hammer curls instead of regular)
INJ_1049,Wrist / Elbow,Wrist Sprain,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Avoid skull crushers
INJ_1050,Knee,Meniscus Tear (Mild),Mild,Core & Cardio,"Avoid deep squatting | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1051,Ankle / Foot,Flat Feet Pain,Moderate,Full Body & Core & Cardio,Perform cardio on a stationary bike or swimming instead | Wear supportive footwear during lifts
INJ_1052,Knee,Patellar Tendinitis,Rehabilitating,Full Body,Keep knee flexion pain-free | Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1053,Knee,Patellar Tendinitis,Chronic/Recurring,Full Body & Legs,Keep knee flexion pain-free
INJ_1054,Knee,Ligament Sprain (ACL/MCL),Chronic/Recurring,Legs & Core & Cardio,Avoid deep squatting | Keep knee flexion pain-free
INJ_1055,Knee,Patellar Tendinitis,Mild,Core & Cardio & Full Body,"Avoid high-impact jumps (Box Jumps, Burpees) | Substitute Squats/Lunges with Glute Bridges or Wall Sits"
INJ_1056,Lower Back,Sciatica,Moderate,Legs & Pull (Back/Biceps),Avoid twisting core movements | Avoid heavy deadlifts and bent-over rows
INJ_1057,Knee,Meniscus Tear (Mild),Rehabilitating,Legs & Full Body,"Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1058,Knee,Ligament Sprain (ACL/MCL),Rehabilitating,Full Body & Core & Cardio,"Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1059,Neck,Postural Neck Pain,Mild,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid heavy barbell shrugs | Avoid crunches where hands pull on the neck
INJ_1060,Wrist / Elbow,TFCC Tear (Mild),Rehabilitating,Upper Body & Pull (Back/Biceps),Substitute push-ups with forearm planks or knuckle push-ups | Use neutral grips (hammer curls instead of regular)
INJ_1061,Knee,Patellar Tendinitis,Rehabilitating,Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1062,Knee,Meniscus Tear (Mild),Mild,Full Body,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1063,Lower Back,Muscle Spasm,Chronic/Recurring,Pull (Back/Biceps),Keep spine neutral
INJ_1064,Shoulder,Rotator Cuff Tendinitis,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Keep elbows tucked during push-ups | Avoid overhead pressing
INJ_1065,Ankle / Foot,Flat Feet Pain,Rehabilitating,Full Body & Legs,Substitute standing calf raises with seated
INJ_1066,Shoulder,Biceps Tendinitis,Mild,Pull (Back/Biceps) & Full Body,Avoid overhead pressing | Avoid wide-grip pull-ups
INJ_1067,Lower Back,Herniated Disc (Mild),Mild,Full Body,Avoid heavy deadlifts and bent-over rows
INJ_1068,Lower Back,Lumbar Strain,Mild,Full Body,Substitute sit-ups with planks or bird-dogs
INJ_1069,Lower Back,SI Joint Dysfunction,Rehabilitating,Full Body,Keep spine neutral | Avoid twisting core movements
INJ_1070,Neck,Whiplash Recovery,Moderate,Core & Cardio & Push (Chest/Shoulders/Triceps),Avoid overhead presses if causing pain
INJ_1071,Knee,Patellar Tendinitis,Chronic/Recurring,Core & Cardio & Legs,Avoid deep squatting | Keep knee flexion pain-free
INJ_1072,Lower Back,SI Joint Dysfunction,Rehabilitating,Legs & Core & Cardio,Keep spine neutral | Avoid twisting core movements
INJ_1073,Lower Back,Herniated Disc (Mild),Mild,Legs & Pull (Back/Biceps),Avoid heavy deadlifts and bent-over rows | Keep spine neutral
INJ_1074,Lower Back,Sciatica,Moderate,Legs & Core & Cardio,Avoid twisting core movements | Keep spine neutral
INJ_1075,Ankle / Foot,Flat Feet Pain,Rehabilitating,Core & Cardio & Full Body,"Substitute standing calf raises with seated | Avoid running, jumping, and high-impact cardio"
INJ_1076,Lower Back,Muscle Spasm,Rehabilitating,Full Body,Avoid heavy deadlifts and bent-over rows | Substitute sit-ups with planks or bird-dogs
INJ_1077,Neck,Whiplash Recovery,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Avoid overhead presses if causing pain | Avoid crunches where hands pull on the neck
INJ_1078,Ankle / Foot,Plantar Fasciitis,Rehabilitating,Core & Cardio & Legs,Wear supportive footwear during lifts
INJ_1079,Lower Back,Herniated Disc (Mild),Rehabilitating,Legs & Full Body,Avoid twisting core movements | Substitute sit-ups with planks or bird-dogs
INJ_1080,Shoulder,Frozen Shoulder (Mild),Chronic/Recurring,Pull (Back/Biceps),Avoid overhead pressing
INJ_1081,Ankle / Foot,Flat Feet Pain,Mild,Full Body & Legs,Substitute standing calf raises with seated
INJ_1082,Knee,Meniscus Tear (Mild),Rehabilitating,Core & Cardio,Keep knee flexion pain-free | Avoid deep squatting
INJ_1083,Shoulder,Biceps Tendinitis,Rehabilitating,Full Body,Avoid wide-grip pull-ups
INJ_1084,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Pull (Back/Biceps),Avoid heavy gripping (use straps for pulling) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1085,Lower Back,Lumbar Strain,Mild,Pull (Back/Biceps),Substitute sit-ups with planks or bird-dogs
INJ_1086,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Core & Cardio,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1087,Ankle / Foot,Flat Feet Pain,Rehabilitating,Core & Cardio,"Avoid running, jumping, and high-impact cardio"
INJ_1088,Shoulder,Biceps Tendinitis,Rehabilitating,Push (Chest/Shoulders/Triceps) & Full Body,Keep elbows tucked during push-ups | Substitute barbell bench with neutral-grip dumbbell press
INJ_1089,Wrist / Elbow,TFCC Tear (Mild),Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Use neutral grips (hammer curls instead of regular) | Avoid skull crushers
INJ_1090,Neck,Whiplash Recovery,Chronic/Recurring,Upper Body,Keep neck neutral during planks and push-ups
INJ_1091,Lower Back,Sciatica,Rehabilitating,Pull (Back/Biceps),Avoid heavy deadlifts and bent-over rows
INJ_1092,Shoulder,Rotator Cuff Tendinitis,Moderate,Upper Body & Full Body,Substitute barbell bench with neutral-grip dumbbell press | Avoid overhead pressing
INJ_1093,Neck,Cervical Strain,Chronic/Recurring,Core & Cardio,Avoid overhead presses if causing pain | Keep neck neutral during planks and push-ups
INJ_1094,Lower Back,Lumbar Strain,Moderate,Pull (Back/Biceps),Keep spine neutral | Substitute sit-ups with planks or bird-dogs
INJ_1095,Ankle / Foot,Achilles Tendinitis,Chronic/Recurring,Full Body,Wear supportive footwear during lifts
INJ_1096,Neck,Postural Neck Pain,Chronic/Recurring,Upper Body & Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck
INJ_1097,Shoulder,Frozen Shoulder (Mild),Chronic/Recurring,Push (Chest/Shoulders/Triceps),Avoid wide-grip pull-ups | Avoid overhead pressing
INJ_1098,Knee,Knee Osteoarthritis,Moderate,Full Body & Legs,Avoid deep squatting
INJ_1099,Lower Back,Herniated Disc (Mild),Mild,Pull (Back/Biceps),Substitute sit-ups with planks or bird-dogs | Avoid twisting core movements
INJ_1100,Neck,Cervical Strain,Rehabilitating,Upper Body & Core & Cardio,Avoid heavy barbell shrugs | Avoid overhead presses if causing pain
INJ_1101,Shoulder,Rotator Cuff Tendinitis,Rehabilitating,Pull (Back/Biceps),Substitute barbell bench with neutral-grip dumbbell press
INJ_1102,Ankle / Foot,Shin Splints,Moderate,Full Body,"Avoid running, jumping, and high-impact cardio"
INJ_1103,Knee,Runner's Knee (Patellofemoral Pain),Rehabilitating,Core & Cardio,Keep knee flexion pain-free | Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1104,Ankle / Foot,Flat Feet Pain,Mild,Full Body,Substitute standing calf raises with seated
INJ_1105,Ankle / Foot,Shin Splints,Mild,Legs,"Avoid running, jumping, and high-impact cardio | Wear supportive footwear during lifts"
INJ_1106,Knee,Knee Osteoarthritis,Chronic/Recurring,Core & Cardio,Avoid deep squatting
INJ_1107,Ankle / Foot,Flat Feet Pain,Mild,Core & Cardio & Full Body,Wear supportive footwear during lifts
INJ_1108,Wrist / Elbow,TFCC Tear (Mild),Moderate,Pull (Back/Biceps),Avoid skull crushers
INJ_1109,Neck,Whiplash Recovery,Moderate,Push (Chest/Shoulders/Triceps),Keep neck neutral during planks and push-ups | Avoid crunches where hands pull on the neck
INJ_1110,Neck,Cervical Strain,Rehabilitating,Core & Cardio & Push (Chest/Shoulders/Triceps),Avoid heavy barbell shrugs | Avoid overhead presses if causing pain
INJ_1111,Shoulder,Biceps Tendinitis,Moderate,Pull (Back/Biceps) & Full Body,Substitute barbell bench with neutral-grip dumbbell press
INJ_1112,Shoulder,Frozen Shoulder (Mild),Moderate,Upper Body & Push (Chest/Shoulders/Triceps),Substitute barbell bench with neutral-grip dumbbell press | Avoid overhead pressing
INJ_1113,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Pull (Back/Biceps),Use neutral grips (hammer curls instead of regular)
INJ_1114,Wrist / Elbow,Golfer's Elbow,Moderate,Pull (Back/Biceps) & Upper Body,Substitute push-ups with forearm planks or knuckle push-ups | Use neutral grips (hammer curls instead of regular)
INJ_1115,Neck,Postural Neck Pain,Mild,Core & Cardio,Keep neck neutral during planks and push-ups | Avoid overhead presses if causing pain
INJ_1116,Knee,Knee Osteoarthritis,Rehabilitating,Legs,Avoid deep squatting
INJ_1117,Shoulder,Rotator Cuff Tendinitis,Chronic/Recurring,Full Body & Upper Body,Avoid wide-grip pull-ups | Keep elbows tucked during push-ups
INJ_1118,Ankle / Foot,Plantar Fasciitis,Chronic/Recurring,Legs & Core & Cardio,"Wear supportive footwear during lifts | Avoid running, jumping, and high-impact cardio"
INJ_1119,Shoulder,AC Joint Sprain,Chronic/Recurring,Push (Chest/Shoulders/Triceps) & Full Body,Avoid wide-grip pull-ups
INJ_1120,Ankle / Foot,Ankle Sprain,Rehabilitating,Legs,"Avoid running, jumping, and high-impact cardio"
INJ_1121,Knee,Runner's Knee (Patellofemoral Pain),Chronic/Recurring,Core & Cardio & Legs,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1122,Knee,Runner's Knee (Patellofemoral Pain),Mild,Full Body,"Avoid high-impact jumps (Box Jumps, Burpees)"
INJ_1123,Lower Back,Muscle Spasm,Chronic/Recurring,Legs & Core & Cardio,Avoid twisting core movements | Avoid heavy deadlifts and bent-over rows
INJ_1124,Neck,Postural Neck Pain,Rehabilitating,Core & Cardio & Upper Body,Avoid overhead presses if causing pain
INJ_1125,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Rehabilitating,Upper Body,Avoid skull crushers
INJ_1126,Knee,Knee Osteoarthritis,Mild,Legs,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1127,Lower Back,Lumbar Strain,Chronic/Recurring,Pull (Back/Biceps),Avoid heavy deadlifts and bent-over rows | Keep spine neutral
INJ_1128,Knee,Knee Osteoarthritis,Mild,Legs & Full Body,Avoid deep squatting | Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1129,Shoulder,Shoulder Impingement,Rehabilitating,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Keep elbows tucked during push-ups
INJ_1130,Ankle / Foot,Ankle Sprain,Chronic/Recurring,Full Body & Core & Cardio,Substitute standing calf raises with seated | Perform cardio on a stationary bike or swimming instead
INJ_1131,Lower Back,Lumbar Strain,Rehabilitating,Core & Cardio,Avoid heavy deadlifts and bent-over rows | Avoid twisting core movements
INJ_1132,Shoulder,AC Joint Sprain,Mild,Full Body & Pull (Back/Biceps),Avoid overhead pressing
INJ_1133,Shoulder,Rotator Cuff Tendinitis,Moderate,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Avoid wide-grip pull-ups | Substitute barbell bench with neutral-grip dumbbell press
INJ_1134,Lower Back,Herniated Disc (Mild),Rehabilitating,Full Body & Pull (Back/Biceps),Avoid heavy deadlifts and bent-over rows | Keep spine neutral
INJ_1135,Neck,Postural Neck Pain,Moderate,Push (Chest/Shoulders/Triceps) & Core & Cardio,Keep neck neutral during planks and push-ups | Avoid heavy barbell shrugs
INJ_1136,Lower Back,Muscle Spasm,Moderate,Pull (Back/Biceps) & Full Body,Substitute sit-ups with planks or bird-dogs | Keep spine neutral
INJ_1137,Neck,Cervical Strain,Rehabilitating,Push (Chest/Shoulders/Triceps),Avoid crunches where hands pull on the neck | Avoid heavy barbell shrugs
INJ_1138,Wrist / Elbow,Carpal Tunnel Syndrome,Chronic/Recurring,Pull (Back/Biceps),Avoid skull crushers | Avoid heavy gripping (use straps for pulling)
INJ_1139,Knee,Patellar Tendinitis,Moderate,Full Body,Substitute Squats/Lunges with Glute Bridges or Wall Sits | Avoid deep squatting
INJ_1140,Knee,Ligament Sprain (ACL/MCL),Chronic/Recurring,Full Body & Legs,Keep knee flexion pain-free
INJ_1141,Shoulder,Shoulder Impingement,Moderate,Push (Chest/Shoulders/Triceps) & Full Body,Avoid overhead pressing
INJ_1142,Knee,Meniscus Tear (Mild),Chronic/Recurring,Core & Cardio & Full Body,Keep knee flexion pain-free
INJ_1143,Shoulder,Shoulder Impingement,Rehabilitating,Push (Chest/Shoulders/Triceps) & Full Body,Keep elbows tucked during push-ups
INJ_1144,Neck,Upper Trapezius Spasm,Mild,Push (Chest/Shoulders/Triceps),Avoid heavy barbell shrugs
INJ_1145,Lower Back,SI Joint Dysfunction,Mild,Core & Cardio & Full Body,Avoid heavy deadlifts and bent-over rows
INJ_1146,Shoulder,Rotator Cuff Tendinitis,Moderate,Upper Body & Full Body,Avoid overhead pressing
INJ_1147,Knee,Ligament Sprain (ACL/MCL),Mild,Full Body,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1148,Knee,Ligament Sprain (ACL/MCL),Rehabilitating,Legs & Core & Cardio,"Avoid high-impact jumps (Box Jumps, Burpees) | Avoid deep squatting"
INJ_1149,Lower Back,Herniated Disc (Mild),Mild,Core & Cardio,Avoid twisting core movements | Keep spine neutral
INJ_1150,Neck,Upper Trapezius Spasm,Mild,Upper Body,Avoid heavy barbell shrugs
INJ_1151,Neck,Upper Trapezius Spasm,Mild,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid crunches where hands pull on the neck | Keep neck neutral during planks and push-ups
INJ_1152,Ankle / Foot,Plantar Fasciitis,Rehabilitating,Core & Cardio,"Wear supportive footwear during lifts | Avoid running, jumping, and high-impact cardio"
INJ_1153,Ankle / Foot,Ankle Sprain,Rehabilitating,Full Body,Perform cardio on a stationary bike or swimming instead
INJ_1154,Neck,Cervical Strain,Rehabilitating,Upper Body,Avoid overhead presses if causing pain | Keep neck neutral during planks and push-ups
INJ_1155,Ankle / Foot,Shin Splints,Moderate,Core & Cardio,"Avoid running, jumping, and high-impact cardio | Wear supportive footwear during lifts"
INJ_1156,Ankle / Foot,Plantar Fasciitis,Moderate,Full Body & Core & Cardio,"Avoid running, jumping, and high-impact cardio | Wear supportive footwear during lifts"
INJ_1157,Neck,Cervical Strain,Rehabilitating,Upper Body & Core & Cardio,Avoid crunches where hands pull on the neck
INJ_1158,Ankle / Foot,Ankle Sprain,Moderate,Full Body & Legs,Substitute standing calf raises with seated | Perform cardio on a stationary bike or swimming instead
INJ_1159,Knee,Patellar Tendinitis,Mild,Legs,Substitute Squats/Lunges with Glute Bridges or Wall Sits | Keep knee flexion pain-free
INJ_1160,Neck,Upper Trapezius Spasm,Mild,Upper Body & Core & Cardio,Keep neck neutral during planks and push-ups
INJ_1161,Lower Back,Sciatica,Rehabilitating,Pull (Back/Biceps) & Legs,Keep spine neutral | Avoid twisting core movements
INJ_1162,Ankle / Foot,Plantar Fasciitis,Mild,Full Body,"Avoid running, jumping, and high-impact cardio | Substitute standing calf raises with seated"
INJ_1163,Ankle / Foot,Flat Feet Pain,Chronic/Recurring,Legs,Wear supportive footwear during lifts
INJ_1164,Neck,Cervical Strain,Moderate,Upper Body,Avoid crunches where hands pull on the neck | Avoid overhead presses if causing pain
INJ_1165,Shoulder,Rotator Cuff Tendinitis,Chronic/Recurring,Upper Body,Substitute barbell bench with neutral-grip dumbbell press | Avoid overhead pressing
INJ_1166,Neck,Postural Neck Pain,Mild,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid heavy barbell shrugs | Keep neck neutral during planks and push-ups
INJ_1167,Wrist / Elbow,Carpal Tunnel Syndrome,Moderate,Push (Chest/Shoulders/Triceps) & Upper Body,Avoid heavy gripping (use straps for pulling) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1168,Knee,Runner's Knee (Patellofemoral Pain),Moderate,Legs,Substitute Squats/Lunges with Glute Bridges or Wall Sits
INJ_1169,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Moderate,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Substitute push-ups with forearm planks or knuckle push-ups | Avoid skull crushers
INJ_1170,Neck,Cervical Strain,Mild,Core & Cardio & Push (Chest/Shoulders/Triceps),Avoid overhead presses if causing pain | Avoid heavy barbell shrugs
INJ_1171,Wrist / Elbow,TFCC Tear (Mild),Chronic/Recurring,Pull (Back/Biceps),Avoid skull crushers
INJ_1172,Neck,Postural Neck Pain,Rehabilitating,Core & Cardio,Avoid crunches where hands pull on the neck
INJ_1173,Lower Back,Sciatica,Mild,Full Body,Substitute sit-ups with planks or bird-dogs
INJ_1174,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Moderate,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Avoid heavy gripping (use straps for pulling) | Use neutral grips (hammer curls instead of regular)
INJ_1175,Ankle / Foot,Achilles Tendinitis,Mild,Legs,"Avoid running, jumping, and high-impact cardio"
INJ_1176,Wrist / Elbow,Wrist Sprain,Chronic/Recurring,Upper Body & Pull (Back/Biceps),Avoid skull crushers
INJ_1177,Ankle / Foot,Flat Feet Pain,Rehabilitating,Legs,Substitute standing calf raises with seated | Wear supportive footwear during lifts
INJ_1178,Ankle / Foot,Plantar Fasciitis,Chronic/Recurring,Full Body,"Avoid running, jumping, and high-impact cardio"
INJ_1179,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Upper Body,Use neutral grips (hammer curls instead of regular)
INJ_1180,Ankle / Foot,Achilles Tendinitis,Moderate,Core & Cardio & Full Body,Perform cardio on a stationary bike or swimming instead
INJ_1181,Neck,Upper Trapezius Spasm,Moderate,Core & Cardio,Avoid heavy barbell shrugs
INJ_1182,Neck,Postural Neck Pain,Moderate,Core & Cardio,Avoid overhead presses if causing pain | Avoid heavy barbell shrugs
INJ_1183,Lower Back,Lumbar Strain,Mild,Legs & Full Body,Keep spine neutral | Avoid twisting core movements
INJ_1184,Lower Back,Herniated Disc (Mild),Mild,Core & Cardio,Avoid twisting core movements
INJ_1185,Lower Back,SI Joint Dysfunction,Chronic/Recurring,Full Body,Avoid heavy deadlifts and bent-over rows | Keep spine neutral
INJ_1186,Ankle / Foot,Achilles Tendinitis,Rehabilitating,Full Body & Legs,"Perform cardio on a stationary bike or swimming instead | Avoid running, jumping, and high-impact cardio"
INJ_1187,Neck,Postural Neck Pain,Rehabilitating,Core & Cardio,Avoid crunches where hands pull on the neck
INJ_1188,Wrist / Elbow,Wrist Sprain,Mild,Push (Chest/Shoulders/Triceps),Substitute push-ups with forearm planks or knuckle push-ups
INJ_1189,Wrist / Elbow,Carpal Tunnel Syndrome,Chronic/Recurring,Push (Chest/Shoulders/Triceps),Use neutral grips (hammer curls instead of regular) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1190,Ankle / Foot,Ankle Sprain,Moderate,Legs,"Avoid running, jumping, and high-impact cardio | Perform cardio on a stationary bike or swimming instead"
INJ_1191,Wrist / Elbow,Wrist Sprain,Mild,Pull (Back/Biceps) & Push (Chest/Shoulders/Triceps),Avoid heavy gripping (use straps for pulling) | Use neutral grips (hammer curls instead of regular)
INJ_1192,Ankle / Foot,Achilles Tendinitis,Mild,Full Body,"Avoid running, jumping, and high-impact cardio | Perform cardio on a stationary bike or swimming instead"
INJ_1193,Shoulder,Shoulder Impingement,Rehabilitating,Pull (Back/Biceps) & Upper Body,Keep elbows tucked during push-ups
INJ_1194,Wrist / Elbow,Tennis Elbow (Lateral Epicondylitis),Mild,Upper Body & Pull (Back/Biceps),Avoid heavy gripping (use straps for pulling) | Substitute push-ups with forearm planks or knuckle push-ups
INJ_1195,Shoulder,Frozen Shoulder (Mild),Rehabilitating,Push (Chest/Shoulders/Triceps) & Pull (Back/Biceps),Avoid wide-grip pull-ups
INJ_1196,Knee,Patellar Tendinitis,Rehabilitating,Full Body & Legs,"Avoid high-impact jumps (Box Jumps, Burpees) | Avoid deep squatting"
