Workout_ID,Workout_Name,Goal,Difficulty,Focus_Area,Duration_Min,Estimated_Calories_Burned,Routine
WK_1011,Advanced Lower Body Focus,Muscle Gain,Advanced,Legs,60,450,1. Goblet Squats (3 sets x 6-8 reps (heavy)) | 2. Wall Sit (3 sets x 6-8 reps (heavy)) | 3. Bodyweight Squats (3 sets x 6-8 reps (heavy)) | 4. Forward Lunges (3 sets x 6-8 reps (heavy)) | 5. Reverse Lunges (3 sets x 6-8 reps (heavy))
WK_1012,Intermediate Core & Sweat,Weight Loss,Intermediate,Core & Cardio,30,231,1. Lying Leg Raises (3 sets x 40 sec work / 20 sec rest) | 2. Dead Bugs (3 sets x 40 sec work / 20 sec rest) | 3. Mountain Climbers (3 sets x 40 sec work / 20 sec rest) | 4. Forearm Plank (3 sets x 40 sec work / 20 sec rest) | 5. Jumping Jacks (3 sets x 40 sec work / 20 sec rest)
WK_1013,Beginner Push Routine,General Fitness,Beginner,Push (Chest/Shoulders/Triceps),30,150,1. Front Raises (3 sets x 10-15 reps) | 2. Wide Grip Push-ups (3 sets x 10-15 reps) | 3. Dumbbell Bench Press (3 sets x 10-15 reps) | 4. Overhead Tricep Extension (3 sets x 10-15 reps) | 5. Dumbbell Overhead Press (3 sets x 10-15 reps)
WK_1014,Beginner Upper Body Mix,Muscle Gain,Beginner,Upper Body,45,225,1. Tricep Kickbacks (3 sets x 8-10 reps) | 2. Lateral Raises (3 sets x 8-10 reps) | 3. Barbell Bench Press (3 sets x 8-10 reps) | 4. Hammer Curls (3 sets x 8-10 reps) | 5. Chin-ups (3 sets x 8-10 reps) | Finisher: Jump Rope (2 sets of 30 seconds)
WK_1015,Advanced Core & Sweat,General Fitness,Advanced,Core & Cardio,30,187,1. Jogging in Place (3 sets x 10-15 reps) | 2. Side Plank (3 sets x 10-15 reps) | 3. Russian Twists (3 sets x 10-15 reps) | 4. Lying Leg Raises (3 sets x 10-15 reps) | 5. Jump Rope (3 sets x 10-15 reps) | Finisher: Mountain Climbers (3 sets of max effort)
WK_1016,Advanced Upper Body Mix,General Fitness,Advanced,Upper Body,45,281,1. Dumbbell Overhead Press (3 sets x 12 reps) | 2. Chin-ups (3 sets x 12 reps) | 3. Dumbbell Bicep Curls (3 sets x 12 reps) | 4. Dumbbell Chest Flyes (3 sets x 12 reps) | 5. Chair Tricep Dips (3 sets x 12 reps)
WK_1017,Advanced Full Body Circuit,Weight Loss,Advanced,Full Body,30,315,1. Bird-Dog (4 sets x 45 sec work / 15 sec rest) | 2. Knee Push-ups (4 sets x 45 sec work / 15 sec rest) | 3. Calf Raises (4 sets x 45 sec work / 15 sec rest) | 4. Dumbbell Rows (4 sets x 45 sec work / 15 sec rest) | 5. Bodyweight Squats (4 sets x 45 sec work / 15 sec rest)
WK_1018,Beginner Full Body Circuit,General Fitness,Beginner,Full Body,30,180,1. Russian Twists (3 sets x 12 reps) | 2. Dumbbell Chest Flyes (3 sets x 12 reps) | 3. Chin-ups (3 sets x 12 reps) | 4. Bodyweight Squats (3 sets x 12 reps) | 5. Glute Bridges (3 sets x 12 reps)
WK_1019,Beginner Lower Body Focus,Muscle Gain,Beginner,Legs,60,360,1. Calf Raises (4 sets x 8-10 reps) | 2. Forward Lunges (4 sets x 8-10 reps) | 3. Reverse Lunges (4 sets x 8-10 reps) | 4. Bodyweight Squats (4 sets x 8-10 reps) | 5. Glute Bridges (4 sets x 8-10 reps)
WK_1020,Intermediate Push Routine,Weight Loss,Intermediate,Push (Chest/Shoulders/Triceps),30,231,1. Push-ups (4 sets x 40 sec work / 20 sec rest) | 2. Diamond Push-ups (4 sets x 40 sec work / 20 sec rest) | 3. Pike Push-ups (4 sets x 40 sec work / 20 sec rest) | 4. Knee Push-ups (4 sets x 40 sec work / 20 sec rest) | 5. Lateral Raises (4 sets x 40 sec work / 20 sec rest)
WK_1021,Advanced Upper Body Mix,General Fitness,Advanced,Upper Body,45,281,1. Superman Extensions (3 sets x 12 reps) | 2. Tricep Kickbacks (3 sets x 12 reps) | 3. Dumbbell Chest Flyes (3 sets x 12 reps) | 4. Diamond Push-ups (3 sets x 12 reps) | 5. Lateral Raises (3 sets x 12 reps) | Finisher: Mountain Climbers (3 sets of max effort)
WK_1022,Beginner Full Body Circuit,Muscle Gain,Beginner,Full Body,45,270,1. Jump Squats (3 sets x 8-10 reps) | 2. Forearm Plank (3 sets x 8-10 reps) | 3. Goblet Squats (3 sets x 8-10 reps) | 4. Barbell Bench Press (3 sets x 8-10 reps) | 5. Superman Extensions (3 sets x 8-10 reps) | Finisher: Burpees (2 sets of 30 seconds)
WK_1023,Intermediate Pull Routine,Muscle Gain,Intermediate,Pull (Back/Biceps),60,330,1. Dumbbell Bicep Curls (3 sets x 8-12 reps) | 2. Pull-ups (3 sets x 8-12 reps) | 3. Inverted Bodyweight Rows (3 sets x 8-12 reps) | 4. Hammer Curls (3 sets x 8-12 reps) | 5. Superman Extensions (3 sets x 8-12 reps)
WK_1024,Intermediate Pull Routine,Muscle Gain,Intermediate,Pull (Back/Biceps),45,247,1. Lat Pulldowns (3 sets x 8-12 reps) | 2. Dumbbell Bicep Curls (3 sets x 8-12 reps) | 3. Hammer Curls (3 sets x 8-12 reps) | 4. Inverted Bodyweight Rows (3 sets x 8-12 reps) | 5. Superman Extensions (3 sets x 8-12 reps)
WK_1025,Advanced Pull Routine,Muscle Gain,Advanced,Pull (Back/Biceps),60,375,1. Hammer Curls (3 sets x 6-8 reps (heavy)) | 2. Dumbbell Bicep Curls (3 sets x 6-8 reps (heavy)) | 3. Chin-ups (3 sets x 6-8 reps (heavy)) | 4. Lat Pulldowns (3 sets x 6-8 reps (heavy)) | 5. Superman Extensions (3 sets x 6-8 reps (heavy)) | Finisher: Jumping Jacks (3 sets of max effort)
WK_1026,Beginner Full Body Circuit,General Fitness,Beginner,Full Body,30,180,1. Knee Push-ups (3 sets x 12 reps) | 2. Jump Squats (3 sets x 12 reps) | 3. Bird-Dog (3 sets x 12 reps) | 4. Forward Lunges (3 sets x 12 reps) | 5. Inverted Bodyweight Rows (3 sets x 12 reps) | Finisher: Jumping Jacks (2 sets of 30 seconds)
WK_1027,Intermediate Pull Routine,General Fitness,Intermediate,Pull (Back/Biceps),45,247,1. Hammer Curls (3 sets x 10-15 reps) | 2. Pull-ups (3 sets x 10-15 reps) | 3. Dumbbell Rows (3 sets x 10-15 reps) | 4. Chin-ups (3 sets x 10-15 reps) | 5. Dumbbell Bicep Curls (3 sets x 10-15 reps)
WK_1028,Intermediate Lower Body Focus,General Fitness,Intermediate,Legs,30,198,1. Wall Sit (3 sets x 12 reps) | 2. Glute Bridges (3 sets x 12 reps) | 3. Forward Lunges (3 sets x 12 reps) | 4. Reverse Lunges (3 sets x 12 reps) | 5. Jump Squats (3 sets x 12 reps)
WK_1029,Intermediate Pull Routine,General Fitness,Intermediate,Pull (Back/Biceps),45,247,1. Hammer Curls (3 sets x 10-15 reps) | 2. Lat Pulldowns (3 sets x 10-15 reps) | 3. Chin-ups (3 sets x 10-15 reps) | 4. Dumbbell Bicep Curls (3 sets x 10-15 reps) | 5. Inverted Bodyweight Rows (3 sets x 10-15 reps) | Finisher: Jumping Jacks (3 sets of max effort)
WK_1030,Beginner Core & Sweat,Muscle Gain,Beginner,Core & Cardio,60,300,1. Lying Leg Raises (3 sets x 8-10 reps) | 2. High Knees (3 sets x 8-10 reps) | 3. Jump Rope (3 sets x 8-10 reps) | 4. Russian Twists (3 sets x 8-10 reps) | 5. Forearm Plank (3 sets x 8-10 reps) | Finisher: Burpees (2 sets of 30 seconds)
WK_1031,Intermediate Lower Body Focus,Weight Loss,Intermediate,Legs,45,415,1. Step-ups (on chair/box) (3 sets x 40 sec work / 20 sec rest) | 2. Goblet Squats (3 sets x 40 sec work / 20 sec rest) | 3. Jump Squats (3 sets x 40 sec work / 20 sec rest) | 4. Wall Sit (3 sets x 40 sec work / 20 sec rest) | 5. Calf Raises (3 sets x 40 sec work / 20 sec rest)
WK_1032,Advanced Pull Routine,General Fitness,Advanced,Pull (Back/Biceps),45,281,1. Inverted Bodyweight Rows (3 sets x 12 reps) | 2. Dumbbell Bicep Curls (3 sets x 12 reps) | 3. Pull-ups (3 sets x 12 reps) | 4. Hammer Curls (3 sets x 12 reps) | 5. Lat Pulldowns (3 sets x 12 reps)
WK_1033,Intermediate Push Routine,General Fitness,Intermediate,Push (Chest/Shoulders/Triceps),45,247,1. Lateral Raises (3 sets x 10-15 reps) | 2. Front Raises (3 sets x 10-15 reps) | 3. Wide Grip Push-ups (3 sets x 10-15 reps) | 4. Overhead Tricep Extension (3 sets x 10-15 reps) | 5. Incline Push-ups (3 sets x 10-15 reps)
WK_1034,Beginner Upper Body Mix,General Fitness,Beginner,Upper Body,30,150,1. Knee Push-ups (3 sets x 12 reps) | 2. Diamond Push-ups (3 sets x 12 reps) | 3. Lat Pulldowns (3 sets x 12 reps) | 4. Pike Push-ups (3 sets x 12 reps) | 5. Chair Tricep Dips (3 sets x 12 reps) | Finisher: Mountain Climbers (2 sets of 30 seconds)
WK_1035,Advanced Core & Sweat,General Fitness,Advanced,Core & Cardio,30,187,1. Burpees (3 sets x 12 reps) | 2. Shadow Boxing (3 sets x 12 reps) | 3. Forearm Plank (3 sets x 12 reps) | 4. Bird-Dog (3 sets x 12 reps) | 5. Crunches (3 sets x 12 reps) | Finisher: High Knees (3 sets of max effort)
WK_1036,Intermediate Core & Sweat,Weight Loss,Intermediate,Core & Cardio,30,231,1. Burpees (4 sets x 40 sec work / 20 sec rest) | 2. Dead Bugs (4 sets x 40 sec work / 20 sec rest) | 3. Forearm Plank (4 sets x 40 sec work / 20 sec rest) | 4. Shadow Boxing (4 sets x 40 sec work / 20 sec rest) | 5. Russian Twists (4 sets x 40 sec work / 20 sec rest)
WK_1037,Beginner Full Body Circuit,Muscle Gain,Beginner,Full Body,60,360,1. Calf Raises (4 sets x 8-10 reps) | 2. Step-ups (on chair/box) (4 sets x 8-10 reps) | 3. Lat Pulldowns (4 sets x 8-10 reps) | 4. Side Plank (4 sets x 8-10 reps) | 5. Push-ups (4 sets x 8-10 reps) | Finisher: Jumping Jacks (2 sets of 30 seconds)
WK_1038,Beginner Pull Routine,Muscle Gain,Beginner,Pull (Back/Biceps),45,225,1. Dumbbell Bicep Curls (3 sets x 8-10 reps) | 2. Chin-ups (3 sets x 8-10 reps) | 3. Inverted Bodyweight Rows (3 sets x 8-10 reps) | 4. Pull-ups (3 sets x 8-10 reps) | 5. Hammer Curls (3 sets x 8-10 reps) | Finisher: Shadow Boxing (2 sets of 30 seconds)
WK_1039,Beginner Pull Routine,Muscle Gain,Beginner,Pull (Back/Biceps),60,300,1. Pull-ups (4 sets x 8-10 reps) | 2. Hammer Curls (4 sets x 8-10 reps) | 3. Dumbbell Bicep Curls (4 sets x 8-10 reps) | 4. Chin-ups (4 sets x 8-10 reps) | 5. Superman Extensions (4 sets x 8-10 reps)
WK_1040,Beginner Full Body Circuit,General Fitness,Beginner,Full Body,30,180,1. Push-ups (3 sets x 10-15 reps) | 2. Bird-Dog (3 sets x 10-15 reps) | 3. Reverse Lunges (3 sets x 10-15 reps) | 4. Superman Extensions (3 sets x 10-15 reps) | 5. Wall Sit (3 sets x 10-15 reps) | Finisher: Jump Rope (2 sets of 30 seconds)
WK_1041,Intermediate Core & Sweat,General Fitness,Intermediate,Core & Cardio,30,165,1. Bird-Dog (3 sets x 10-15 reps) | 2. Mountain Climbers (3 sets x 10-15 reps) | 3. Jogging in Place (3 sets x 10-15 reps) | 4. Lying Leg Raises (3 sets x 10-15 reps) | 5. Side Plank (3 sets x 10-15 reps) | Finisher: Burpees (3 sets of max effort)
WK_1042,Advanced Full Body Circuit,Weight Loss,Advanced,Full Body,30,315,1. Superman Extensions (3 sets x 45 sec work / 15 sec rest) | 2. Forearm Plank (3 sets x 45 sec work / 15 sec rest) | 3. Reverse Lunges (3 sets x 45 sec work / 15 sec rest) | 4. Dumbbell Bench Press (3 sets x 45 sec work / 15 sec rest) | 5. Bodyweight Squats (3 sets x 45 sec work / 15 sec rest)
WK_1043,Beginner Push Routine,Weight Loss,Beginner,Push (Chest/Shoulders/Triceps),45,315,1. Barbell Bench Press (3 sets x 12-15 reps) | 2. Pike Push-ups (3 sets x 12-15 reps) | 3. Diamond Push-ups (3 sets x 12-15 reps) | 4. Lateral Raises (3 sets x 12-15 reps) | 5. Dumbbell Chest Flyes (3 sets x 12-15 reps)
WK_1044,Beginner Core & Sweat,Weight Loss,Beginner,Core & Cardio,30,210,1. Dead Bugs (4 sets x 12-15 reps) | 2. Shadow Boxing (4 sets x 12-15 reps) | 3. Forearm Plank (4 sets x 12-15 reps) | 4. Jumping Jacks (4 sets x 12-15 reps) | 5. Lying Leg Raises (4 sets x 12-15 reps)
WK_1045,Advanced Upper Body Mix,Weight Loss,Advanced,Upper Body,40,350,1. Diamond Push-ups (4 sets x 45 sec work / 15 sec rest) | 2. Dumbbell Overhead Press (4 sets x 45 sec work / 15 sec rest) | 3. Pull-ups (4 sets x 45 sec work / 15 sec rest) | 4. Barbell Bench Press (4 sets x 45 sec work / 15 sec rest) | 5. Hammer Curls (4 sets x 45 sec work / 15 sec rest) | Finisher: Shadow Boxing (3 sets of max effort)
WK_1046,Intermediate Lower Body Focus,Weight Loss,Intermediate,Legs,45,415,1. Goblet Squats (3 sets x 40 sec work / 20 sec rest) | 2. Step-ups (on chair/box) (3 sets x 40 sec work / 20 sec rest) | 3. Calf Raises (3 sets x 40 sec work / 20 sec rest) | 4. Wall Sit (3 sets x 40 sec work / 20 sec rest) | 5. Glute Bridges (3 sets x 40 sec work / 20 sec rest)
WK_1047,Intermediate Upper Body Mix,General Fitness,Intermediate,Upper Body,30,165,1. Overhead Tricep Extension (3 sets x 10-15 reps) | 2. Pull-ups (3 sets x 10-15 reps) | 3. Dumbbell Chest Flyes (3 sets x 10-15 reps) | 4. Diamond Push-ups (3 sets x 10-15 reps) | 5. Lateral Raises (3 sets x 10-15 reps) | Finisher: High Knees (3 sets of max effort)
WK_1048,Intermediate Full Body Circuit,Muscle Gain,Intermediate,Full Body,60,396,1. Dumbbell Bench Press (3 sets x 8-12 reps) | 2. Russian Twists (3 sets x 8-12 reps) | 3. Superman Extensions (3 sets x 8-12 reps) | 4. Reverse Lunges (3 sets x 8-12 reps) | 5. Calf Raises (3 sets x 8-12 reps)
WK_1049,Advanced Upper Body Mix,General Fitness,Advanced,Upper Body,45,281,1. Diamond Push-ups (3 sets x 10-15 reps) | 2. Incline Push-ups (3 sets x 10-15 reps) | 3. Dumbbell Bicep Curls (3 sets x 10-15 reps) | 4. Chin-ups (3 sets x 10-15 reps) | 5. Seated Dumbbell Press (3 sets x 10-15 reps)
WK_1050,Intermediate Push Routine,Weight Loss,Intermediate,Push (Chest/Shoulders/Triceps),30,231,1. Pike Push-ups (4 sets x 40 sec work / 20 sec rest) | 2. Front Raises (4 sets x 40 sec work / 20 sec rest) | 3. Dumbbell Bench Press (4 sets x 40 sec work / 20 sec rest) | 4. Barbell Bench Press (4 sets x 40 sec work / 20 sec rest) | 5. Chair Tricep Dips (4 sets x 40 sec work / 20 sec rest) | Finisher: Jogging in Place (3 sets of max effort)
WK_1051,Beginner Full Body Circuit,Weight Loss,Beginner,Full Body,30,252,1. Dead Bugs (3 sets x 12-15 reps) | 2. Incline Push-ups (3 sets x 12-15 reps) | 3. Dumbbell Rows (3 sets x 12-15 reps) | 4. Calf Raises (3 sets x 12-15 reps) | 5. Bodyweight Squats (3 sets x 12-15 reps) | Finisher: Mountain Climbers (2 sets of 30 seconds)
WK_1052,Beginner Lower Body Focus,Weight Loss,Beginner,Legs,45,378,1. Wall Sit (4 sets x 12-15 reps) | 2. Calf Raises (4 sets x 12-15 reps) | 3. Reverse Lunges (4 sets x 12-15 reps) | 4. Jump Squats (4 sets x 12-15 reps) | 5. Goblet Squats (4 sets x 12-15 reps) | Finisher: Jump Rope (2 sets of 30 seconds)
WK_1053,Beginner Push Routine,Muscle Gain,Beginner,Push (Chest/Shoulders/Triceps),60,300,1. Pike Push-ups (4 sets x 8-10 reps) | 2. Wide Grip Push-ups (4 sets x 8-10 reps) | 3. Overhead Tricep Extension (4 sets x 8-10 reps) | 4. Incline Push-ups (4 sets x 8-10 reps) | 5. Front Raises (4 sets x 8-10 reps)
WK_1054,Advanced Core & Sweat,General Fitness,Advanced,Core & Cardio,45,281,1. Forearm Plank (3 sets x 12 reps) | 2. Dead Bugs (3 sets x 12 reps) | 3. Jumping Jacks (3 sets x 12 reps) | 4. Lying Leg Raises (3 sets x 12 reps) | 5. Jump Rope (3 sets x 12 reps)
WK_1055,Beginner Full Body Circuit,General Fitness,Beginner,Full Body,45,270,1. Dead Bugs (3 sets x 12 reps) | 2. Calf Raises (3 sets x 12 reps) | 3. Lat Pulldowns (3 sets x 12 reps) | 4. Barbell Bench Press (3 sets x 12 reps) | 5. Wall Sit (3 sets x 12 reps) | Finisher: Burpees (2 sets of 30 seconds)
WK_1056,Intermediate Lower Body Focus,Muscle Gain,Intermediate,Legs,60,396,1. Calf Raises (3 sets x 8-12 reps) | 2. Reverse Lunges (3 sets x 8-12 reps) | 3. Wall Sit (3 sets x 8-12 reps) | 4. Glute Bridges (3 sets x 8-12 reps) | 5. Jump Squats (3 sets x 8-12 reps)
WK_1057,Beginner Full Body Circuit,Weight Loss,Beginner,Full Body,40,336,1. Bicycle Crunches (3 sets x 12-15 reps) | 2. Superman Extensions (3 sets x 12-15 reps) | 3. Push-ups (3 sets x 12-15 reps) | 4. Bodyweight Squats (3 sets x 12-15 reps) | 5. Reverse Lunges (3 sets x 12-15 reps) | Finisher: High Knees (2 sets of 30 seconds)
WK_1058,Intermediate Full Body Circuit,General Fitness,Intermediate,Full Body,30,198,1. Wide Grip Push-ups (3 sets x 12 reps) | 2. Forward Lunges (3 sets x 12 reps) | 3. Bodyweight Squats (3 sets x 12 reps) | 4. Side Plank (3 sets x 12 reps) | 5. Chin-ups (3 sets x 12 reps) | Finisher: Jumping Jacks (3 sets of max effort)
WK_1059,Beginner Core & Sweat,General Fitness,Beginner,Core & Cardio,30,150,1. High Knees (3 sets x 10-15 reps) | 2. Bird-Dog (3 sets x 10-15 reps) | 3. Lying Leg Raises (3 sets x 10-15 reps) | 4. Dead Bugs (3 sets x 10-15 reps) | 5. Burpees (3 sets x 10-15 reps)
WK_1060,Intermediate Core & Sweat,General Fitness,Intermediate,Core & Cardio,45,247,1. Russian Twists (3 sets x 12 reps) | 2. Jump Rope (3 sets x 12 reps) | 3. Crunches (3 sets x 12 reps) | 4. Burpees (3 sets x 12 reps) | 5. Bird-Dog (3 sets x 12 reps) | Finisher: Jump Rope (3 sets of max effort)
WK_1061,Beginner Core & Sweat,General Fitness,Beginner,Core & Cardio,45,225,1. Jumping Jacks (3 sets x 10-15 reps) | 2. Russian Twists (3 sets x 10-15 reps) | 3. Bicycle Crunches (3 sets x 10-15 reps) | 4. Mountain Climbers (3 sets x 10-15 reps) | 5. Forearm Plank (3 sets x 10-15 reps)
WK_1062,Intermediate Push Routine,Weight Loss,Intermediate,Push (Chest/Shoulders/Triceps),30,231,1. Overhead Tricep Extension (4 sets x 40 sec work / 20 sec rest) | 2. Push-ups (4 sets x 40 sec work / 20 sec rest) | 3. Front Raises (4 sets x 40 sec work / 20 sec rest) | 4. Dumbbell Bench Press (4 sets x 40 sec work / 20 sec rest) | 5. Lateral Raises (4 sets x 40 sec work / 20 sec rest) | Finisher: Jump Rope (3 sets of max effort)
WK_1063,Intermediate Upper Body Mix,Muscle Gain,Intermediate,Upper Body,45,247,1. Knee Push-ups (3 sets x 8-12 reps) | 2. Chair Tricep Dips (3 sets x 8-12 reps) | 3. Chin-ups (3 sets x 8-12 reps) | 4. Dumbbell Overhead Press (3 sets x 8-12 reps) | 5. Dumbbell Bicep Curls (3 sets x 8-12 reps) | Finisher: Jumping Jacks (3 sets of max effort)
WK_1064,Intermediate Upper Body Mix,Weight Loss,Intermediate,Upper Body,30,231,1. Lateral Raises (3 sets x 40 sec work / 20 sec rest) | 2. Overhead Tricep Extension (3 sets x 40 sec work / 20 sec rest) | 3. Superman Extensions (3 sets x 40 sec work / 20 sec rest) | 4. Diamond Push-ups (3 sets x 40 sec work / 20 sec rest) | 5. Dumbbell Bench Press (3 sets x 40 sec work / 20 sec rest) | Finisher: High Knees (3 sets of max effort)
WK_1065,Intermediate Core & Sweat,General Fitness,Intermediate,Core & Cardio,30,165,1. Russian Twists (3 sets x 12 reps) | 2. Jogging in Place (3 sets x 12 reps) | 3. Bicycle Crunches (3 sets x 12 reps) | 4. Shadow Boxing (3 sets x 12 reps) | 5. Dead Bugs (3 sets x 12 reps)
WK_1066,Intermediate Push Routine,General Fitness,Intermediate,Push (Chest/Shoulders/Triceps),30,165,1. Dumbbell Chest Flyes (3 sets x 12 reps) | 2. Dumbbell Overhead Press (3 sets x 12 reps) | 3. Front Raises (3 sets x 12 reps) | 4. Chair Tricep Dips (3 sets x 12 reps) | 5. Wide Grip Push-ups (3 sets x 12 reps) | Finisher: Shadow Boxing (3 sets of max effort)
WK_1067,Intermediate Upper Body Mix,General Fitness,Intermediate,Upper Body,30,165,1. Front Raises (3 sets x 10-15 reps) | 2. Pull-ups (3 sets x 10-15 reps) | 3. Hammer Curls (3 sets x 10-15 reps) | 4. Barbell Bench Press (3 sets x 10-15 reps) | 5. Overhead Tricep Extension (3 sets x 10-15 reps) | Finisher: Jogging in Place (3 sets of max effort)
WK_1068,Advanced Full Body Circuit,Muscle Gain,Advanced,Full Body,45,337,1. Dumbbell Chest Flyes (3 sets x 6-8 reps (heavy)) | 2. Reverse Lunges (3 sets x 6-8 reps (heavy)) | 3. Lat Pulldowns (3 sets x 6-8 reps (heavy)) | 4. Bodyweight Squats (3 sets x 6-8 reps (heavy)) | 5. Forearm Plank (3 sets x 6-8 reps (heavy)) | Finisher: Jogging in Place (3 sets of max effort)
WK_1069,Beginner Lower Body Focus,General Fitness,Beginner,Legs,30,180,1. Jump Squats (3 sets x 12 reps) | 2. Calf Raises (3 sets x 12 reps) | 3. Goblet Squats (3 sets x 12 reps) | 4. Glute Bridges (3 sets x 12 reps) | 5. Reverse Lunges (3 sets x 12 reps)
WK_1070,Advanced Upper Body Mix,Weight Loss,Advanced,Upper Body,30,262,1. Chair Tricep Dips (4 sets x 45 sec work / 15 sec rest) | 2. Dumbbell Bench Press (4 sets x 45 sec work / 15 sec rest) | 3. Seated Dumbbell Press (4 sets x 45 sec work / 15 sec rest) | 4. Dumbbell Bicep Curls (4 sets x 45 sec work / 15 sec rest) | 5. Inverted Bodyweight Rows (4 sets x 45 sec work / 15 sec rest)
WK_1071,Intermediate Lower Body Focus,Muscle Gain,Intermediate,Legs,60,396,1. Step-ups (on chair/box) (4 sets x 8-12 reps) | 2. Bodyweight Squats (4 sets x 8-12 reps) | 3. Calf Raises (4 sets x 8-12 reps) | 4. Wall Sit (4 sets x 8-12 reps) | 5. Reverse Lunges (4 sets x 8-12 reps)
WK_1072,Advanced Core & Sweat,Muscle Gain,Advanced,Core & Cardio,60,375,1. Dead Bugs (3 sets x 6-8 reps (heavy)) | 2. Bicycle Crunches (3 sets x 6-8 reps (heavy)) | 3. Shadow Boxing (3 sets x 6-8 reps (heavy)) | 4. Jumping Jacks (3 sets x 6-8 reps (heavy)) | 5. Lying Leg Raises (3 sets x 6-8 reps (heavy))
