Meal_Name,Protein(g),Carbs(g),Fat(g),Calories,Goal
"Ngwaci (Boiled Sweet Potato) with Nyama Choma (Roasted Beef/Goat), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",29,46,15,435,Weight Loss / Lean
"Ugali (White Cornmeal) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",18,66,11,435,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Beef Stew, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",28,47,15,435,Weight Loss / Lean
"White Rice with 2 Boiled Eggs, Spinach & Passion Fruit (2 pcs)",20,58,14,438,Balanced / Maintenance
"Githeri (Maize & Beans) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",26,57,12,440,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",31,42,17,445,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",18,53,18,446,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",29,56,12,448,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",24,61,12,448,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",32,42,17,449,Weight Loss / Lean
"Chapati (Soft Flatbread) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",19,49,20,452,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Managu (African Nightshade) & Passion Fruit (2 pcs)",22,73,8,452,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Nyama Choma (Roasted Beef/Goat), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",29,51,15,455,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Ndengu (Green Gram Stew), Spinach & Watermelon (Slice)",20,76,8,456,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",29,58,12,456,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",24,63,12,456,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Passion Fruit (2 pcs)",33,43,17,457,Weight Loss / Lean
"White Rice with 2 Boiled Eggs, Cabbage (Fried) & Passion Fruit (2 pcs)",19,62,15,459,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Beef Stew, Managu (African Nightshade) & Pawpaw (Papaya Slice)",29,52,15,459,Weight Loss / Lean
"Brown Rice with Beef Stew, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",29,59,12,460,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Beef Stew, Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",28,60,12,460,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Cabbage (Fried) & Watermelon (Slice)",20,77,8,460,Balanced / Maintenance
"White Rice with 2 Boiled Eggs, Managu (African Nightshade) & Passion Fruit (2 pcs)",21,61,15,463,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",19,90,3,463,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Nyama Choma (Roasted Beef/Goat), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",31,40,20,464,Weight Loss / Lean
"Ugali (White Cornmeal) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",20,67,13,465,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",26,52,17,465,Weight Loss / Lean
"Brown Rice with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",21,57,17,465,Balanced / Maintenance
"White Rice with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Mango (Slice)",18,76,10,466,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Mango (Slice)",18,58,18,466,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Sukuma Wiki (Collard Greens) & Watermelon (Slice)",20,45,23,467,Balanced / Maintenance
"Ugali (White Cornmeal) with 2 Boiled Eggs, Cabbage (Fried) & Passion Fruit (2 pcs)",19,62,16,468,Balanced / Maintenance
"Githeri (Maize & Beans) with 2 Boiled Eggs, Spinach & Passion Fruit (2 pcs)",28,53,16,468,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with 2 Boiled Eggs, Managu (African Nightshade) & Passion Fruit (2 pcs)",23,56,17,469,Balanced / Maintenance
"Brown Rice with 2 Boiled Eggs, Cabbage (Fried) & Passion Fruit (2 pcs)",20,59,17,469,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Watermelon (Slice)",33,46,17,469,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",28,58,14,470,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Cabbage (Fried) & Watermelon (Slice)",19,47,23,471,Balanced / Maintenance
"Matoke (Plantain Stew) with 2 Boiled Eggs, Spinach & Watermelon (Slice)",19,56,19,471,Balanced / Maintenance
"Matoke (Plantain Stew) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",27,57,15,471,Weight Loss / Lean
"White Rice with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",21,90,3,471,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Beef Stew, Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",28,63,12,472,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",21,79,8,472,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Managu (African Nightshade) & Pawpaw (Papaya Slice)",27,53,17,473,Weight Loss / Lean
"Githeri (Maize & Beans) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",28,59,14,474,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Nyama Choma (Roasted Beef/Goat), Spinach & Pawpaw (Papaya Slice)",31,45,19,475,Weight Loss / Lean
"Ugali (White Cornmeal) with 2 Boiled Eggs, Spinach & Pawpaw (Papaya Slice)",20,65,15,475,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Omena (Silver Cyprinid Stew), Spinach & Passion Fruit (2 pcs)",31,52,16,476,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Mango (Slice)",18,74,12,476,Balanced / Maintenance
"Spaghetti with Beef Stew, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",32,60,12,476,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Pork Wet Fry, Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",28,46,20,476,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with 2 Boiled Eggs, Cabbage (Fried) & Watermelon (Slice)",21,60,17,477,Balanced / Maintenance
"Brown Rice with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",21,60,17,477,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",33,55,14,478,Weight Loss / Lean
"Ugali (White Cornmeal) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",21,90,4,480,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Avocado (Half) & Watermelon (Slice)",17,47,25,481,Balanced / Maintenance
"Ugali (White Cornmeal) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",31,60,13,481,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Maziwa Lala (Fermented Milk 1 cup)",33,47,18,482,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Beef Stew, Spinach & Pawpaw (Papaya Slice)",28,61,14,482,Weight Loss / Lean
"White Rice with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",20,60,18,482,Balanced / Maintenance
"Ugali (White Cornmeal) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",18,78,11,483,Balanced / Maintenance
"Brown Rice with 2 Boiled Eggs, Managu (African Nightshade) & Watermelon (Slice)",22,61,17,485,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Pawpaw (Papaya Slice)",33,50,17,485,Weight Loss / Lean
"Githeri (Maize & Beans) with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",28,55,17,485,Weight Loss / Lean
"Ugali (White Cornmeal) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",32,60,13,485,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Chicken Stew (Kuku Paka), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",26,57,17,485,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Spinach & Passion Fruit (2 pcs)",20,52,22,486,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",32,58,14,486,Weight Loss / Lean
"Matoke (Plantain Stew) with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Mango (Slice)",17,71,15,487,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Njahi (Black Bean Stew), Spinach & Watermelon (Slice)",21,85,7,487,Balanced / Maintenance
"Matoke (Plantain Stew) with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",19,58,20,488,Balanced / Maintenance
"White Rice with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",32,63,12,488,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",22,55,20,488,Balanced / Maintenance
"Spaghetti with Beef Stew, Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",32,63,12,488,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Chicken Stew (Kuku Paka), Cabbage (Fried) & Passion Fruit (2 pcs)",25,59,17,489,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Sweet Banana (Ndizi)",26,74,10,490,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Cabbage (Fried) & Maziwa Lala (Fermented Milk 1 cup)",24,47,23,491,Balanced / Maintenance
"Spaghetti with 2 Boiled Eggs, Spinach & Pawpaw (Papaya Slice)",24,63,16,492,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",20,58,20,492,Balanced / Maintenance
"Brown Rice with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",21,64,17,493,Balanced / Maintenance
"Githeri (Maize & Beans) with 2 Boiled Eggs, Managu (African Nightshade) & Passion Fruit (2 pcs)",29,56,17,493,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",34,58,14,494,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Mango (Slice)",26,66,14,494,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Managu (African Nightshade) & Mango (Slice)",19,71,15,495,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Managu (African Nightshade) & Maziwa Lala (Fermented Milk 1 cup)",26,46,23,495,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Beef Stew, Cabbage (Fried) & Mango (Slice)",27,63,15,495,Weight Loss / Lean
"Matoke (Plantain Stew) with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",25,61,17,497,Balanced / Maintenance
"Ugali (White Cornmeal) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",32,63,13,497,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Ndengu (Green Gram Stew), Managu (African Nightshade) & Pawpaw (Papaya Slice)",21,83,9,497,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Mixed Vegetables (Peas, Carrots) & Roasted Peanuts (Handful)",24,42,26,498,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",28,65,14,498,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Spinach & Watermelon (Slice)",20,55,22,498,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Nyama Choma (Roasted Beef/Goat), Managu (African Nightshade) & Pawpaw (Papaya Slice)",32,48,20,500,Weight Loss / Lean
"Brown Rice with Beef Stew, Spinach & Passion Fruit (2 pcs)",31,58,16,500,Weight Loss / Lean
"Ugali (White Cornmeal) with 2 Boiled Eggs, Managu (African Nightshade) & Pawpaw (Papaya Slice)",21,68,16,500,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with 2 Boiled Eggs, Spinach & Pawpaw (Papaya Slice)",22,65,17,501,Balanced / Maintenance
"Brown Rice with 2 Boiled Eggs, Managu (African Nightshade) & Pawpaw (Papaya Slice)",22,65,17,501,Balanced / Maintenance
"Spaghetti with Chicken Stew (Kuku Paka), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",30,64,14,502,Weight Loss / Lean
"Spaghetti with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",36,58,14,502,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Mixed Vegetables (Peas, Carrots) & Mango (Slice)",31,63,14,502,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Sweet Banana (Ndizi)",26,68,14,502,Weight Loss / Lean
"White Rice with Nyama Choma (Roasted Beef/Goat), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",31,61,15,503,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with 2 Boiled Eggs, Managu (African Nightshade) & Sweet Banana (Ndizi)",19,73,15,503,Balanced / Maintenance
"Chapati (Soft Flatbread) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",29,52,20,504,Weight Loss / Lean
"Matoke (Plantain Stew) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",20,88,8,504,Balanced / Maintenance
"Matoke (Plantain Stew) with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",30,58,17,505,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Wet Fry Fish (Tilapia), Managu (African Nightshade) & Passion Fruit (2 pcs)",33,55,17,505,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Pork Wet Fry, Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",26,60,18,506,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Maharagwe (Bean Stew), Managu (African Nightshade) & Watermelon (Slice)",19,74,15,507,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Spinach & Sweet Banana (Ndizi)",32,59,16,508,Weight Loss / Lean
"Ugali (White Cornmeal) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",21,97,4,508,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Maziwa Lala (Fermented Milk 1 cup)",37,45,20,508,Weight Loss / Lean
"Brown Rice with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",22,94,5,509,Balanced / Maintenance
"Spaghetti with 2 Boiled Eggs, Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",24,65,17,509,Balanced / Maintenance
"Spaghetti with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",25,91,5,509,Balanced / Maintenance
"Spaghetti with Omena (Silver Cyprinid Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",35,61,14,510,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Omena (Silver Cyprinid Stew), Mixed Vegetables (Peas, Carrots) & Pawpaw (Papaya Slice)",31,65,14,510,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Mixed Vegetables (Peas, Carrots) & Sweet Banana (Ndizi)",31,65,14,510,Weight Loss / Lean
"Mukimo (Mashed Potatoes & Greens) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",34,60,15,511,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Mixed Vegetables (Peas, Carrots) & Mango (Slice)",20,63,20,512,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Njahi (Black Bean Stew), Managu (African Nightshade) & Watermelon (Slice)",22,88,8,512,Balanced / Maintenance
"Brown Rice with Beef Stew, Spinach & Watermelon (Slice)",31,61,16,512,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Mango (Slice)",21,89,8,512,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Ndengu (Green Gram Stew), Cabbage (Fried) & Passion Fruit (2 pcs)",19,89,9,513,Balanced / Maintenance
"Mukimo (Mashed Potatoes & Greens) with Beef Stew, Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",30,69,13,513,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Wet Fry Fish (Tilapia), Cabbage (Fried) & Watermelon (Slice)",31,59,17,513,Weight Loss / Lean
"Brown Rice with Chicken Stew (Kuku Paka), Spinach & Passion Fruit (2 pcs)",29,59,18,514,Weight Loss / Lean
"White Rice with 2 Boiled Eggs, Kachumbari (Tomato & Onion Salad) & Maziwa Lala (Fermented Milk 1 cup)",25,63,18,514,Balanced / Maintenance
"Spaghetti with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",24,91,6,514,Balanced / Maintenance
"Spaghetti with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",36,61,14,514,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Spinach & Sweet Banana (Ndizi)",20,59,22,514,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Pork Wet Fry, Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",28,49,23,515,Weight Loss / Lean
"White Rice with Beef Stew, Managu (African Nightshade) & Passion Fruit (2 pcs)",31,64,15,515,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Maharagwe (Bean Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",18,77,15,515,Balanced / Maintenance
"White Rice with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",20,100,4,516,Balanced / Maintenance
"Ugali (White Cornmeal) with Beef Stew, Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",30,63,16,516,Weight Loss / Lean
"Ugali Brown (Millet/Sorghum) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",22,62,20,516,Balanced / Maintenance
"Githeri (Maize & Beans) with 2 Boiled Eggs, Cabbage (Fried) & Pawpaw (Papaya Slice)",27,64,17,517,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Wet Fry Fish (Tilapia), Sukuma Wiki (Collard Greens) & Mango (Slice)",32,59,17,517,Weight Loss / Lean
"White Rice with Njahi (Black Bean Stew), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",23,95,5,517,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with Omena (Silver Cyprinid Stew), Cabbage (Fried) & Mango (Slice)",30,61,17,517,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Ndengu (Green Gram Stew), Managu (African Nightshade) & Passion Fruit (2 pcs)",21,88,9,517,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Mutura (African Sausage), Cabbage (Fried) & Watermelon (Slice)",19,59,23,519,Balanced / Maintenance
"Ugali (White Cornmeal) with Mutura (African Sausage), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",20,67,19,519,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with 2 Boiled Eggs, Spinach & Sweet Banana (Ndizi)",22,72,16,520,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Maharagwe (Bean Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",20,83,12,520,Balanced / Maintenance
"Nduma (Boiled Arrowroot) with Njahi (Black Bean Stew), Sukuma Wiki (Collard Greens) & Pawpaw (Papaya Slice)",21,91,8,520,Balanced / Maintenance
"White Rice with Chicken Stew (Kuku Paka), Sukuma Wiki (Collard Greens) & Passion Fruit (2 pcs)",28,64,17,521,Weight Loss / Lean
"Nduma (Boiled Arrowroot) with Chicken Stew (Kuku Paka), Managu (African Nightshade) & Pawpaw (Papaya Slice)",27,65,17,521,Weight Loss / Lean
"Matoke (Plantain Stew) with Ndengu (Green Gram Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",19,91,9,521,Balanced / Maintenance
"White Rice with Chicken Stew (Kuku Paka), Mixed Vegetables (Peas, Carrots) & Watermelon (Slice)",28,71,14,522,Balanced / Maintenance
"White Rice with Wet Fry Fish (Tilapia), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",34,65,14,522,Weight Loss / Lean
"Ugali (White Cornmeal) with Maharagwe (Bean Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",18,88,11,523,Balanced / Maintenance
"Ngwaci (Boiled Sweet Potato) with 2 Boiled Eggs, Cabbage (Fried) & Mandazi (1 pc)",19,60,23,523,Balanced / Maintenance
"Chapati (Soft Flatbread) with Njahi (Black Bean Stew), Kachumbari (Tomato & Onion Salad) & Passion Fruit (2 pcs)",22,80,13,525,Balanced / Maintenance
"Matoke (Plantain Stew) with Wet Fry Fish (Tilapia), Kachumbari (Tomato & Onion Salad) & Pawpaw (Papaya Slice)",31,62,17,525,Weight Loss / Lean
"White Rice with Maharagwe (Bean Stew), Kachumbari (Tomato & Onion Salad) & Watermelon (Slice)",18,91,10,526,Balanced / Maintenance
"Brown Rice with Wet Fry Fish (Tilapia), Spinach & Passion Fruit (2 pcs)",35,56,18,526,Weight Loss / Lean
"White Rice with Beef Stew, Managu (African Nightshade) & Watermelon (Slice)",31,67,15,527,Weight Loss / Lean
"Ngwaci (Boiled Sweet Potato) with Mutura (African Sausage), Cabbage (Fried) & Mango (Slice)",19,61,23,527,Balanced / Maintenance
"Brown Rice with Njahi (Black Bean Stew), Mixed Vegetables (Peas, Carrots) & Passion Fruit (2 pcs)",24,92,7,527,Balanced / Maintenance
"Brown Rice with Beef Stew, Kachumbari (Tomato & Onion Salad) & Mango (Slice)",29,76,12,528,Balanced / Maintenance
"Ugali Brown (Millet/Sorghum) with Mutura (African Sausage), Spinach & Passion Fruit (2 pcs)",24,54,24,528,Balanced / Maintenance
"Ugali (White Cornmeal) with Beef Stew, Sukuma Wiki (Collard Greens) & Watermelon (Slice)",30,66,16,528,Weight Loss / Lean
