Workout_ID,Focus_Area,Difficulty,Routine,Goal
REHAB_2001,Rehabilitation,Beginner,Seated Shoulder Rolls | Cat-Cow Stretch | Gentle Walking,Recovery
REHAB_2036,Rehabilitation,Beginner,Seated Shoulder Rolls | Chest Opener Stretch | Seated Torso Twists (Light),Recovery
REHAB_2037,Rehabilitation,Beginner,Seated Shoulder Rolls | Chest Opener Stretch | Wrist Rotations,Recovery
REHAB_2038,Rehabilitation,Beginner,Mindful Breathing | Child's Pose | Ankle Pumps,Recovery
REHAB_2039,Rehabilitation,Beginner,Pelvic Tilts | Knee-to-Chest Stretch | Assisted Leg Raises,Recovery
REHAB_2040,Rehabilitation,Beginner,Ankle Pumps | Overhead Reach | Glute Squeezes,Recovery
REHAB_2041,Rehabilitation,Beginner,Gentle Walking | Calf Stretch on Wall | Ankle Pumps,Recovery
REHAB_2042,Rehabilitation,Beginner,Diaphragmatic Breathing | Chest Opener Stretch | Neck Rotations,Recovery
REHAB_2043,Rehabilitation,Beginner,Seated Torso Twists (Light) | Seated Hamstring Stretch | Neck Rotations,Recovery
REHAB_2044,Rehabilitation,Beginner,Diaphragmatic Breathing | Child's Pose | Isometric Towel Presses,Recovery
REHAB_2045,Rehabilitation,Beginner,Seated Shoulder Rolls | Overhead Reach | Glute Squeezes,Recovery
REHAB_2046,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Seated Torso Twists (Light),Recovery
REHAB_2047,Rehabilitation,Beginner,Ankle Pumps | Chest Opener Stretch | Foam Rolling,Recovery
REHAB_2048,Rehabilitation,Beginner,Mindful Breathing | Seated Hamstring Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2049,Rehabilitation,Beginner,Pelvic Tilts | Cat-Cow Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2050,Rehabilitation,Beginner,Wrist Rotations | Knee-to-Chest Stretch | Isometric Towel Presses,Recovery
REHAB_2051,Rehabilitation,Beginner,Seated Shoulder Rolls | Calf Stretch on Wall | Neck Rotations,Recovery
REHAB_2052,Rehabilitation,Beginner,Mindful Breathing | Overhead Reach | Wrist Rotations,Recovery
REHAB_2053,Rehabilitation,Beginner,Neck Rotations | Seated Hamstring Stretch | Assisted Leg Raises,Recovery
REHAB_2054,Rehabilitation,Beginner,Pelvic Tilts | Knee-to-Chest Stretch | Foam Rolling,Recovery
REHAB_2055,Rehabilitation,Beginner,Seated Torso Twists (Light) | Child's Pose | Foam Rolling,Recovery
REHAB_2056,Rehabilitation,Beginner,Guided Meditation | Knee-to-Chest Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2057,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Wrist Rotations,Recovery
REHAB_2058,Rehabilitation,Beginner,Progressive Muscle Relaxation | Child's Pose | Foam Rolling,Recovery
REHAB_2059,Rehabilitation,Beginner,Seated Torso Twists (Light) | Seated Hamstring Stretch | Glute Squeezes,Recovery
REHAB_2060,Rehabilitation,Beginner,Progressive Muscle Relaxation | Chest Opener Stretch | Gentle Walking,Recovery
REHAB_2061,Rehabilitation,Beginner,Guided Meditation | Calf Stretch on Wall | Isometric Towel Presses,Recovery
REHAB_2062,Rehabilitation,Beginner,Mindful Breathing | Lying Glute Stretch | Gentle Walking,Recovery
REHAB_2063,Rehabilitation,Beginner,Box Breathing | Cat-Cow Stretch | Neck Rotations,Recovery
REHAB_2064,Rehabilitation,Beginner,Pelvic Tilts | Chest Opener Stretch | Neck Rotations,Recovery
REHAB_2065,Rehabilitation,Beginner,Seated Torso Twists (Light) | Child's Pose | Wrist Rotations,Recovery
REHAB_2066,Rehabilitation,Beginner,Seated Shoulder Rolls | Chest Opener Stretch | Foam Rolling,Recovery
REHAB_2067,Rehabilitation,Beginner,Diaphragmatic Breathing | Knee-to-Chest Stretch | Foam Rolling,Recovery
REHAB_2068,Rehabilitation,Beginner,Ankle Pumps | Overhead Reach | Ankle Pumps,Recovery
REHAB_2069,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Assisted Leg Raises,Recovery
REHAB_2070,Rehabilitation,Beginner,Mindful Breathing | Overhead Reach | Static Wall Sits (Shallow),Recovery
REHAB_2071,Rehabilitation,Beginner,Seated Shoulder Rolls | Calf Stretch on Wall | Light Core Bracing,Recovery
REHAB_2072,Rehabilitation,Beginner,Wrist Rotations | Chest Opener Stretch | Neck Rotations,Recovery
REHAB_2073,Rehabilitation,Beginner,Box Breathing | Lying Glute Stretch | Neck Rotations,Recovery
REHAB_2074,Rehabilitation,Beginner,Progressive Muscle Relaxation | Seated Hamstring Stretch | Glute Squeezes,Recovery
REHAB_2075,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Glute Squeezes,Recovery
REHAB_2076,Rehabilitation,Beginner,Box Breathing | Seated Hamstring Stretch | Neck Rotations,Recovery
REHAB_2077,Rehabilitation,Beginner,Pelvic Tilts | Seated Hamstring Stretch | Ankle Pumps,Recovery
REHAB_2078,Rehabilitation,Beginner,Guided Meditation | Seated Hamstring Stretch | Pelvic Tilts,Recovery
REHAB_2079,Rehabilitation,Beginner,Guided Meditation | Lying Glute Stretch | Seated Shoulder Rolls,Recovery
REHAB_2080,Rehabilitation,Beginner,Seated Shoulder Rolls | Chest Opener Stretch | Ankle Pumps,Recovery
REHAB_2081,Rehabilitation,Beginner,Wrist Rotations | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2082,Rehabilitation,Beginner,Ankle Pumps | Chest Opener Stretch | Ankle Pumps,Recovery
REHAB_2083,Rehabilitation,Beginner,Seated Torso Twists (Light) | Chest Opener Stretch | Isometric Towel Presses,Recovery
REHAB_2084,Rehabilitation,Beginner,Gentle Walking | Lying Glute Stretch | Neck Rotations,Recovery
REHAB_2085,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Pelvic Tilts,Recovery
REHAB_2086,Rehabilitation,Beginner,Gentle Walking | Overhead Reach | Light Core Bracing,Recovery
REHAB_2087,Rehabilitation,Beginner,Pelvic Tilts | Seated Hamstring Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2088,Rehabilitation,Beginner,Seated Shoulder Rolls | Cat-Cow Stretch | Gentle Walking,Recovery
REHAB_2089,Rehabilitation,Beginner,Gentle Walking | Calf Stretch on Wall | Isometric Towel Presses,Recovery
REHAB_2090,Rehabilitation,Beginner,Guided Meditation | Lying Glute Stretch | Ankle Pumps,Recovery
REHAB_2091,Rehabilitation,Beginner,Box Breathing | Chest Opener Stretch | Wrist Rotations,Recovery
REHAB_2092,Rehabilitation,Beginner,Gentle Walking | Child's Pose | Seated Shoulder Rolls,Recovery
REHAB_2093,Rehabilitation,Beginner,Neck Rotations | Lying Glute Stretch | Neck Rotations,Recovery
REHAB_2094,Rehabilitation,Beginner,Neck Rotations | Cat-Cow Stretch | Gentle Walking,Recovery
REHAB_2095,Rehabilitation,Beginner,Seated Shoulder Rolls | Seated Hamstring Stretch | Neck Rotations,Recovery
REHAB_2096,Rehabilitation,Beginner,Seated Torso Twists (Light) | Lying Glute Stretch | Wrist Rotations,Recovery
REHAB_2097,Rehabilitation,Beginner,Gentle Walking | Chest Opener Stretch | Light Core Bracing,Recovery
REHAB_2098,Rehabilitation,Beginner,Box Breathing | Overhead Reach | Gentle Walking,Recovery
REHAB_2099,Rehabilitation,Beginner,Diaphragmatic Breathing | Overhead Reach | Gentle Walking,Recovery
REHAB_2100,Rehabilitation,Beginner,Gentle Walking | Knee-to-Chest Stretch | Isometric Towel Presses,Recovery
REHAB_2101,Rehabilitation,Beginner,Seated Torso Twists (Light) | Chest Opener Stretch | Seated Shoulder Rolls,Recovery
REHAB_2102,Rehabilitation,Beginner,Gentle Walking | Chest Opener Stretch | Wrist Rotations,Recovery
REHAB_2103,Rehabilitation,Beginner,Box Breathing | Knee-to-Chest Stretch | Ankle Pumps,Recovery
REHAB_2104,Rehabilitation,Beginner,Deep Breathing | Seated Hamstring Stretch | Assisted Leg Raises,Recovery
REHAB_2105,Rehabilitation,Beginner,Progressive Muscle Relaxation | Seated Hamstring Stretch | Gentle Walking,Recovery
REHAB_2106,Rehabilitation,Beginner,Ankle Pumps | Chest Opener Stretch | Foam Rolling,Recovery
REHAB_2107,Rehabilitation,Beginner,Wrist Rotations | Child's Pose | Gentle Walking,Recovery
REHAB_2108,Rehabilitation,Beginner,Wrist Rotations | Cat-Cow Stretch | Wrist Rotations,Recovery
REHAB_2109,Rehabilitation,Beginner,Guided Meditation | Cat-Cow Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2110,Rehabilitation,Beginner,Box Breathing | Overhead Reach | Neck Rotations,Recovery
REHAB_2111,Rehabilitation,Beginner,Ankle Pumps | Lying Glute Stretch | Glute Squeezes,Recovery
REHAB_2112,Rehabilitation,Beginner,Ankle Pumps | Seated Hamstring Stretch | Glute Squeezes,Recovery
REHAB_2113,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Static Wall Sits (Shallow),Recovery
REHAB_2114,Rehabilitation,Beginner,Ankle Pumps | Calf Stretch on Wall | Seated Shoulder Rolls,Recovery
REHAB_2115,Rehabilitation,Beginner,Box Breathing | Calf Stretch on Wall | Ankle Pumps,Recovery
REHAB_2116,Rehabilitation,Beginner,Mindful Breathing | Overhead Reach | Wrist Rotations,Recovery
REHAB_2117,Rehabilitation,Beginner,Seated Shoulder Rolls | Knee-to-Chest Stretch | Light Core Bracing,Recovery
REHAB_2118,Rehabilitation,Beginner,Progressive Muscle Relaxation | Cat-Cow Stretch | Gentle Walking,Recovery
REHAB_2119,Rehabilitation,Beginner,Neck Rotations | Cat-Cow Stretch | Neck Rotations,Recovery
REHAB_2120,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Foam Rolling,Recovery
REHAB_2121,Rehabilitation,Beginner,Mindful Breathing | Child's Pose | Pelvic Tilts,Recovery
REHAB_2122,Rehabilitation,Beginner,Guided Meditation | Lying Glute Stretch | Pelvic Tilts,Recovery
REHAB_2123,Rehabilitation,Beginner,Mindful Breathing | Child's Pose | Light Core Bracing,Recovery
REHAB_2124,Rehabilitation,Beginner,Wrist Rotations | Knee-to-Chest Stretch | Glute Squeezes,Recovery
REHAB_2125,Rehabilitation,Beginner,Seated Torso Twists (Light) | Seated Hamstring Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2126,Rehabilitation,Beginner,Wrist Rotations | Knee-to-Chest Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2127,Rehabilitation,Beginner,Guided Meditation | Child's Pose | Seated Shoulder Rolls,Recovery
REHAB_2128,Rehabilitation,Beginner,Guided Meditation | Cat-Cow Stretch | Assisted Leg Raises,Recovery
REHAB_2129,Rehabilitation,Beginner,Wrist Rotations | Child's Pose | Seated Shoulder Rolls,Recovery
REHAB_2130,Rehabilitation,Beginner,Mindful Breathing | Lying Glute Stretch | Assisted Leg Raises,Recovery
REHAB_2131,Rehabilitation,Beginner,Progressive Muscle Relaxation | Lying Glute Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2132,Rehabilitation,Beginner,Seated Shoulder Rolls | Knee-to-Chest Stretch | Foam Rolling,Recovery
REHAB_2133,Rehabilitation,Beginner,Neck Rotations | Knee-to-Chest Stretch | Gentle Walking,Recovery
REHAB_2134,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Seated Shoulder Rolls,Recovery
REHAB_2135,Rehabilitation,Beginner,Deep Breathing | Seated Hamstring Stretch | Pelvic Tilts,Recovery
REHAB_2136,Rehabilitation,Beginner,Seated Torso Twists (Light) | Child's Pose | Static Wall Sits (Shallow),Recovery
REHAB_2137,Rehabilitation,Beginner,Mindful Breathing | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2138,Rehabilitation,Beginner,Neck Rotations | Overhead Reach | Foam Rolling,Recovery
REHAB_2139,Rehabilitation,Beginner,Deep Breathing | Cat-Cow Stretch | Neck Rotations,Recovery
REHAB_2140,Rehabilitation,Beginner,Pelvic Tilts | Child's Pose | Foam Rolling,Recovery
REHAB_2141,Rehabilitation,Beginner,Deep Breathing | Calf Stretch on Wall | Glute Squeezes,Recovery
REHAB_2142,Rehabilitation,Beginner,Wrist Rotations | Child's Pose | Seated Torso Twists (Light),Recovery
REHAB_2143,Rehabilitation,Beginner,Diaphragmatic Breathing | Seated Hamstring Stretch | Seated Shoulder Rolls,Recovery
REHAB_2144,Rehabilitation,Beginner,Progressive Muscle Relaxation | Seated Hamstring Stretch | Pelvic Tilts,Recovery
REHAB_2145,Rehabilitation,Beginner,Box Breathing | Lying Glute Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2146,Rehabilitation,Beginner,Guided Meditation | Calf Stretch on Wall | Isometric Towel Presses,Recovery
REHAB_2147,Rehabilitation,Beginner,Wrist Rotations | Overhead Reach | Glute Squeezes,Recovery
REHAB_2148,Rehabilitation,Beginner,Pelvic Tilts | Child's Pose | Ankle Pumps,Recovery
REHAB_2149,Rehabilitation,Beginner,Diaphragmatic Breathing | Child's Pose | Seated Torso Twists (Light),Recovery
REHAB_2150,Rehabilitation,Beginner,Deep Breathing | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2151,Rehabilitation,Beginner,Progressive Muscle Relaxation | Overhead Reach | Isometric Towel Presses,Recovery
REHAB_2152,Rehabilitation,Beginner,Seated Shoulder Rolls | Lying Glute Stretch | Seated Shoulder Rolls,Recovery
REHAB_2153,Rehabilitation,Beginner,Diaphragmatic Breathing | Cat-Cow Stretch | Seated Torso Twists (Light),Recovery
REHAB_2154,Rehabilitation,Beginner,Deep Breathing | Chest Opener Stretch | Ankle Pumps,Recovery
REHAB_2155,Rehabilitation,Beginner,Box Breathing | Chest Opener Stretch | Pelvic Tilts,Recovery
REHAB_2156,Rehabilitation,Beginner,Mindful Breathing | Lying Glute Stretch | Ankle Pumps,Recovery
REHAB_2157,Rehabilitation,Beginner,Deep Breathing | Lying Glute Stretch | Seated Torso Twists (Light),Recovery
REHAB_2158,Rehabilitation,Beginner,Progressive Muscle Relaxation | Knee-to-Chest Stretch | Neck Rotations,Recovery
REHAB_2159,Rehabilitation,Beginner,Seated Torso Twists (Light) | Knee-to-Chest Stretch | Pelvic Tilts,Recovery
REHAB_2160,Rehabilitation,Beginner,Seated Shoulder Rolls | Overhead Reach | Static Wall Sits (Shallow),Recovery
REHAB_2161,Rehabilitation,Beginner,Wrist Rotations | Calf Stretch on Wall | Gentle Walking,Recovery
REHAB_2162,Rehabilitation,Beginner,Guided Meditation | Knee-to-Chest Stretch | Wrist Rotations,Recovery
REHAB_2163,Rehabilitation,Beginner,Ankle Pumps | Knee-to-Chest Stretch | Gentle Walking,Recovery
REHAB_2164,Rehabilitation,Beginner,Guided Meditation | Overhead Reach | Pelvic Tilts,Recovery
REHAB_2165,Rehabilitation,Beginner,Pelvic Tilts | Calf Stretch on Wall | Seated Torso Twists (Light),Recovery
REHAB_2166,Rehabilitation,Beginner,Ankle Pumps | Cat-Cow Stretch | Seated Torso Twists (Light),Recovery
REHAB_2167,Rehabilitation,Beginner,Ankle Pumps | Lying Glute Stretch | Seated Shoulder Rolls,Recovery
REHAB_2168,Rehabilitation,Beginner,Deep Breathing | Overhead Reach | Gentle Walking,Recovery
REHAB_2169,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Pelvic Tilts,Recovery
REHAB_2170,Rehabilitation,Beginner,Gentle Walking | Cat-Cow Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2171,Rehabilitation,Beginner,Progressive Muscle Relaxation | Calf Stretch on Wall | Static Wall Sits (Shallow),Recovery
REHAB_2172,Rehabilitation,Beginner,Guided Meditation | Knee-to-Chest Stretch | Foam Rolling,Recovery
REHAB_2173,Rehabilitation,Beginner,Mindful Breathing | Overhead Reach | Pelvic Tilts,Recovery
REHAB_2174,Rehabilitation,Beginner,Gentle Walking | Knee-to-Chest Stretch | Foam Rolling,Recovery
REHAB_2175,Rehabilitation,Beginner,Diaphragmatic Breathing | Lying Glute Stretch | Seated Torso Twists (Light),Recovery
REHAB_2176,Rehabilitation,Beginner,Seated Shoulder Rolls | Overhead Reach | Static Wall Sits (Shallow),Recovery
REHAB_2177,Rehabilitation,Beginner,Pelvic Tilts | Child's Pose | Glute Squeezes,Recovery
REHAB_2178,Rehabilitation,Beginner,Ankle Pumps | Knee-to-Chest Stretch | Seated Torso Twists (Light),Recovery
REHAB_2179,Rehabilitation,Beginner,Wrist Rotations | Seated Hamstring Stretch | Seated Shoulder Rolls,Recovery
REHAB_2180,Rehabilitation,Beginner,Mindful Breathing | Lying Glute Stretch | Seated Torso Twists (Light),Recovery
REHAB_2181,Rehabilitation,Beginner,Seated Torso Twists (Light) | Calf Stretch on Wall | Light Core Bracing,Recovery
REHAB_2182,Rehabilitation,Beginner,Neck Rotations | Chest Opener Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2183,Rehabilitation,Beginner,Box Breathing | Chest Opener Stretch | Isometric Towel Presses,Recovery
REHAB_2184,Rehabilitation,Beginner,Seated Torso Twists (Light) | Child's Pose | Static Wall Sits (Shallow),Recovery
REHAB_2185,Rehabilitation,Beginner,Guided Meditation | Knee-to-Chest Stretch | Foam Rolling,Recovery
REHAB_2186,Rehabilitation,Beginner,Seated Shoulder Rolls | Calf Stretch on Wall | Neck Rotations,Recovery
REHAB_2187,Rehabilitation,Beginner,Seated Torso Twists (Light) | Lying Glute Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2188,Rehabilitation,Beginner,Mindful Breathing | Lying Glute Stretch | Isometric Towel Presses,Recovery
REHAB_2189,Rehabilitation,Beginner,Box Breathing | Child's Pose | Gentle Walking,Recovery
REHAB_2190,Rehabilitation,Beginner,Deep Breathing | Lying Glute Stretch | Light Core Bracing,Recovery
REHAB_2191,Rehabilitation,Beginner,Ankle Pumps | Cat-Cow Stretch | Light Core Bracing,Recovery
REHAB_2192,Rehabilitation,Beginner,Gentle Walking | Lying Glute Stretch | Assisted Leg Raises,Recovery
REHAB_2193,Rehabilitation,Beginner,Pelvic Tilts | Overhead Reach | Light Core Bracing,Recovery
REHAB_2194,Rehabilitation,Beginner,Gentle Walking | Lying Glute Stretch | Wrist Rotations,Recovery
REHAB_2195,Rehabilitation,Beginner,Seated Shoulder Rolls | Seated Hamstring Stretch | Isometric Towel Presses,Recovery
REHAB_2196,Rehabilitation,Beginner,Seated Torso Twists (Light) | Cat-Cow Stretch | Isometric Towel Presses,Recovery
REHAB_2197,Rehabilitation,Beginner,Gentle Walking | Lying Glute Stretch | Wrist Rotations,Recovery
REHAB_2198,Rehabilitation,Beginner,Seated Torso Twists (Light) | Chest Opener Stretch | Gentle Walking,Recovery
REHAB_2199,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Neck Rotations,Recovery
REHAB_2200,Rehabilitation,Beginner,Neck Rotations | Child's Pose | Isometric Towel Presses,Recovery
REHAB_2201,Rehabilitation,Beginner,Neck Rotations | Calf Stretch on Wall | Isometric Towel Presses,Recovery
REHAB_2202,Rehabilitation,Beginner,Neck Rotations | Overhead Reach | Foam Rolling,Recovery
REHAB_2203,Rehabilitation,Beginner,Neck Rotations | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2204,Rehabilitation,Beginner,Neck Rotations | Chest Opener Stretch | Seated Shoulder Rolls,Recovery
REHAB_2205,Rehabilitation,Beginner,Seated Torso Twists (Light) | Lying Glute Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2206,Rehabilitation,Beginner,Mindful Breathing | Chest Opener Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2207,Rehabilitation,Beginner,Box Breathing | Knee-to-Chest Stretch | Light Core Bracing,Recovery
REHAB_2208,Rehabilitation,Beginner,Guided Meditation | Knee-to-Chest Stretch | Ankle Pumps,Recovery
REHAB_2209,Rehabilitation,Beginner,Mindful Breathing | Calf Stretch on Wall | Pelvic Tilts,Recovery
REHAB_2210,Rehabilitation,Beginner,Wrist Rotations | Cat-Cow Stretch | Wrist Rotations,Recovery
REHAB_2211,Rehabilitation,Beginner,Diaphragmatic Breathing | Lying Glute Stretch | Seated Torso Twists (Light),Recovery
REHAB_2212,Rehabilitation,Beginner,Pelvic Tilts | Child's Pose | Assisted Leg Raises,Recovery
REHAB_2213,Rehabilitation,Beginner,Box Breathing | Cat-Cow Stretch | Seated Torso Twists (Light),Recovery
REHAB_2214,Rehabilitation,Beginner,Gentle Walking | Calf Stretch on Wall | Foam Rolling,Recovery
REHAB_2215,Rehabilitation,Beginner,Neck Rotations | Overhead Reach | Gentle Walking,Recovery
REHAB_2216,Rehabilitation,Beginner,Box Breathing | Overhead Reach | Seated Torso Twists (Light),Recovery
REHAB_2217,Rehabilitation,Beginner,Seated Torso Twists (Light) | Seated Hamstring Stretch | Isometric Towel Presses,Recovery
REHAB_2218,Rehabilitation,Beginner,Ankle Pumps | Overhead Reach | Light Core Bracing,Recovery
REHAB_2219,Rehabilitation,Beginner,Deep Breathing | Calf Stretch on Wall | Seated Shoulder Rolls,Recovery
REHAB_2220,Rehabilitation,Beginner,Seated Torso Twists (Light) | Overhead Reach | Seated Torso Twists (Light),Recovery
REHAB_2221,Rehabilitation,Beginner,Wrist Rotations | Lying Glute Stretch | Light Core Bracing,Recovery
REHAB_2222,Rehabilitation,Beginner,Box Breathing | Knee-to-Chest Stretch | Seated Torso Twists (Light),Recovery
REHAB_2223,Rehabilitation,Beginner,Neck Rotations | Seated Hamstring Stretch | Seated Torso Twists (Light),Recovery
REHAB_2224,Rehabilitation,Beginner,Progressive Muscle Relaxation | Overhead Reach | Assisted Leg Raises,Recovery
REHAB_2225,Rehabilitation,Beginner,Diaphragmatic Breathing | Chest Opener Stretch | Wrist Rotations,Recovery
REHAB_2226,Rehabilitation,Beginner,Ankle Pumps | Seated Hamstring Stretch | Seated Torso Twists (Light),Recovery
REHAB_2227,Rehabilitation,Beginner,Ankle Pumps | Seated Hamstring Stretch | Neck Rotations,Recovery
REHAB_2228,Rehabilitation,Beginner,Seated Shoulder Rolls | Overhead Reach | Wrist Rotations,Recovery
REHAB_2229,Rehabilitation,Beginner,Neck Rotations | Child's Pose | Gentle Walking,Recovery
REHAB_2230,Rehabilitation,Beginner,Mindful Breathing | Overhead Reach | Pelvic Tilts,Recovery
REHAB_2231,Rehabilitation,Beginner,Box Breathing | Chest Opener Stretch | Pelvic Tilts,Recovery
REHAB_2232,Rehabilitation,Beginner,Progressive Muscle Relaxation | Overhead Reach | Seated Shoulder Rolls,Recovery
REHAB_2233,Rehabilitation,Beginner,Seated Torso Twists (Light) | Overhead Reach | Seated Shoulder Rolls,Recovery
REHAB_2234,Rehabilitation,Beginner,Guided Meditation | Chest Opener Stretch | Gentle Walking,Recovery
REHAB_2235,Rehabilitation,Beginner,Pelvic Tilts | Seated Hamstring Stretch | Pelvic Tilts,Recovery
REHAB_2236,Rehabilitation,Beginner,Box Breathing | Cat-Cow Stretch | Isometric Towel Presses,Recovery
REHAB_2237,Rehabilitation,Beginner,Seated Shoulder Rolls | Seated Hamstring Stretch | Isometric Towel Presses,Recovery
REHAB_2238,Rehabilitation,Beginner,Deep Breathing | Lying Glute Stretch | Ankle Pumps,Recovery
REHAB_2239,Rehabilitation,Beginner,Deep Breathing | Child's Pose | Ankle Pumps,Recovery
REHAB_2240,Rehabilitation,Beginner,Diaphragmatic Breathing | Chest Opener Stretch | Static Wall Sits (Shallow),Recovery
REHAB_2241,Rehabilitation,Beginner,Guided Meditation | Lying Glute Stretch | Light Core Bracing,Recovery
REHAB_2242,Rehabilitation,Beginner,Pelvic Tilts | Knee-to-Chest Stretch | Isometric Towel Presses,Recovery
REHAB_2243,Rehabilitation,Beginner,Progressive Muscle Relaxation | Child's Pose | Glute Squeezes,Recovery
